x,y,z,type,is_movable
-219.73000000000002,494.78,0.0,CAF,1
211.5,-168.08000000000004,0.0,epithelial_normal,1
350.94000000000005,-16.230000000000018,0.0,other_tissue,0
79.09000000000003,468.93,0.0,CAF,1
241.41999999999996,26.950000000000045,0.0,other_tissue,0
-152.22000000000003,384.28999999999996,0.0,CAF,1
-40.74000000000001,507.92,0.0,epithelial_tumor_class1,1
-63.639999999999986,-510.79999999999995,0.0,CAF,1
-476.4,287.8,0.0,other_tissue,0
388.36,75.16000000000003,0.0,CAF,1
-456.44,-196.64999999999998,0.0,epithelial_tumor_class1,1
-55.31999999999999,364.48,0.0,CAF,1
63.75,304.35,0.0,CD4_Tcell,1
-444.62,-203.37,0.0,epithelial_tumor_class1,1
-164.63,-395.74,0.0,CD4_Tcell,1
-475.47,112.56,0.0,CAF,1
120.39999999999998,440.49,0.0,epithelial_normal,1
367.72,-55.360000000000014,0.0,other_tissue,0
-191.73000000000002,512.96,0.0,CD4_Tcell,1
203.89,4.529999999999973,0.0,other_tissue,0
-142.14999999999998,-184.26,0.0,other_tissue,0
260.66999999999996,-22.639999999999986,0.0,other_tissue,0
-124.86000000000001,-156.23000000000002,0.0,CD4_Tcell,1
443.51,256.08,0.0,CAF,1
-32.85000000000002,131.39,0.0,CD8_Tcell,1
-224.16000000000003,-380.64,0.0,other_tissue,0
-495.54,-230.48000000000002,0.0,CAF,1
135.62,-248.60000000000002,0.0,other_tissue,0
255.26999999999998,389.39,0.0,CAF,1
-47.160000000000025,-248.65999999999997,0.0,apCAF,1
-5.159999999999968,374.01,0.0,other_tissue,0
-32.23000000000002,46.51999999999998,0.0,other_tissue,0
488.4000000000001,112.26999999999998,0.0,other_tissue,0
4.460000000000036,544.052,0.0,CAF,1
-232.31,-501.70000000000005,0.0,other_tissue,0
344.32000000000005,303.99,0.0,other_tissue,0
121.29999999999995,-339.07000000000005,0.0,other_tissue,0
-113.06,505.8,0.0,epithelial_tumor_class1,1
-415.47,-405.51,0.0,other_tissue,0
-103.61000000000001,417.02,0.0,other_tissue,0
-259.8,-160.26999999999998,0.0,other_tissue,0
-131.57999999999998,183.98000000000002,0.0,other_tissue,0
211.76,179.67000000000002,0.0,other_tissue,0
-447.09000000000003,-236.24,0.0,other_tissue,0
75.99000000000001,-132.64,0.0,CD4_Tcell,1
-280.25,471.81,0.0,CAF,1
180.61,47.51999999999998,0.0,epithelial_tumor_class1,1
-539.79,-487.79999999999995,0.0,CAF,1
-199.39,343.72,0.0,other_tissue,0
195.27999999999997,-508.20000000000005,0.0,other_tissue,0
-77.79000000000002,486.39,0.0,epithelial_normal,1
-465.13,-487.0999999999999,0.0,other_tissue,0
-107.95999999999998,399.13,0.0,other_tissue,0
218.69000000000005,505.06,0.0,CD8_Tcell,1
-180.52999999999997,435.31,0.0,mesenchymal_tumor_class1,1
-205.58999999999997,422.77,0.0,other_tissue,0
455.5,-471.20000000000005,0.0,CAF,1
504.0999999999999,-539.5999999999999,0.0,epithelial_tumor_class1,1
-295.23,422.6,0.0,CAF,1
157.67999999999995,-527.3,0.0,other_tissue,0
-132.64999999999998,-223.28999999999996,0.0,CD8_Tcell,1
91.80999999999995,232.05,0.0,CAF,1
-404.15999999999997,-356.66999999999996,0.0,other_tissue,0
-508.05,399.88,0.0,other_tissue,0
-419.31,460.71,0.0,apCAF,1
-428.5,354.23,0.0,epithelial_normal,1
511.70000000000005,-337.61,0.0,other_tissue,0
-352.78,-375.83000000000004,0.0,CAF,1
-32.960000000000036,-108.51999999999998,0.0,other_tissue,0
-183.55,415.65,0.0,mesenchymal_tumor_class1,1
308.20000000000005,-199.69000000000005,0.0,other_tissue,0
-112.31,264.0,0.0,other_tissue,0
-533.02,289.81,0.0,other_tissue,0
-422.82,339.16999999999996,0.0,CAF,1
176.37,-544.0999999999999,0.0,CAF,1
119.14999999999998,362.26,0.0,other_tissue,0
-385.36,274.66,0.0,other_tissue,0
-455.33,-549.3,0.0,other_tissue,0
210.89999999999998,-384.71000000000004,0.0,other_tissue,0
-212.89,394.31,0.0,CAF,1
125.62,-531.2,0.0,other_tissue,0
323.24,347.76,0.0,other_tissue,0
-513.48,-178.39,0.0,CAF,1
99.75,-147.95000000000005,0.0,CD4_Tcell,1
-261.98,75.31,0.0,other_tissue,0
-491.74,-547.0999999999999,0.0,CAF,1
69.60000000000002,-541.0999999999999,0.0,epithelial_tumor_class1,1
-503.26,420.09000000000003,0.0,other_tissue,0
388.82000000000005,-409.36,0.0,CD4_Tcell,1
328.65,-140.36,0.0,other_tissue,0
-534.48,-463.4,0.0,epithelial_tumor_class1,1
287.15,-163.74,0.0,CD8_Tcell,1
30.690000000000055,-256.40999999999997,0.0,other_tissue,0
-462.79,-146.60000000000002,0.0,epithelial_tumor_class1,1
369.99,-32.50999999999999,0.0,other_tissue,0
-110.68,-504.20000000000005,0.0,CAF,1
-112.44,-236.64,0.0,other_tissue,0
290.38,-96.83000000000004,0.0,other_tissue,0
-83.41000000000003,131.20999999999998,0.0,other_tissue,0
500.5,503.88,0.0,apCAF,1
