Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Detection probability	Area µm^2	Length µm	Circularity	Solidity	Max diameter µm	Min diameter µm	80ArAr: Mean	80ArAr: Median	80ArAr: Min	80ArAr: Max	80ArAr: Std.Dev.	CD45: Mean	CD45: Median	CD45: Min	CD45: Max	CD45: Std.Dev.	Ruthenium: Mean	Ruthenium: Median	Ruthenium: Min	Ruthenium: Max	Ruthenium: Std.Dev.	Collagen: Mean	Collagen: Median	Collagen: Min	Collagen: Max	Collagen: Std.Dev.	Ecadherin: Mean	Ecadherin: Median	Ecadherin: Min	Ecadherin: Max	Ecadherin: Std.Dev.	120Sn: Mean	120Sn: Median	120Sn: Min	120Sn: Max	120Sn: Std.Dev.	127I: Mean	127I: Median	127I: Min	127I: Max	127I: Std.Dev.	131Xe: Mean	131Xe: Median	131Xe: Min	131Xe: Max	131Xe: Std.Dev.	133Cs: Mean	133Cs: Median	133Cs: Min	133Cs: Max	133Cs: Std.Dev.	138Ba: Mean	138Ba: Median	138Ba: Min	138Ba: Max	138Ba: Std.Dev.	SMA: Mean	SMA: Median	SMA: Min	SMA: Max	SMA: Std.Dev.	Podoplanin: Mean	Podoplanin: Median	Podoplanin: Min	Podoplanin: Max	Podoplanin: Std.Dev.	VIM: Mean	VIM: Median	VIM: Min	VIM: Max	VIM: Std.Dev.	S100A4: Mean	S100A4: Median	S100A4: Min	S100A4: Max	S100A4: Std.Dev.	CD45RO: Mean	CD45RO: Median	CD45RO: Min	CD45RO: Max	CD45RO: Std.Dev.	CD16: Mean	CD16: Median	CD16: Min	CD16: Max	CD16: Std.Dev.	CD163: Mean	CD163: Median	CD163: Min	CD163: Max	CD163: Std.Dev.	CK: Mean	CK: Median	CK: Min	CK: Max	CK: Std.Dev.	TFF1: Mean	TFF1: Median	TFF1: Min	TFF1: Max	TFF1: Std.Dev.	PDL1: Mean	PDL1: Median	PDL1: Min	PDL1: Max	PDL1: Std.Dev.	PD1: Mean	PD1: Median	PD1: Min	PD1: Max	PD1: Std.Dev.	CD31: Mean	CD31: Median	CD31: Min	CD31: Max	CD31: Std.Dev.	Tox_Tox2: Mean	Tox_Tox2: Median	Tox_Tox2: Min	Tox_Tox2: Max	Tox_Tox2: Std.Dev.	CD57: Mean	CD57: Median	CD57: Min	CD57: Max	CD57: Std.Dev.	FOXP3: Mean	FOXP3: Median	FOXP3: Min	FOXP3: Max	FOXP3: Std.Dev.	CD4: Mean	CD4: Median	CD4: Min	CD4: Max	CD4: Std.Dev.	NCAD: Mean	NCAD: Median	NCAD: Min	NCAD: Max	NCAD: Std.Dev.	CD68: Mean	CD68: Median	CD68: Min	CD68: Max	CD68: Std.Dev.	IL6: Mean	IL6: Median	IL6: Min	IL6: Max	IL6: Std.Dev.	CD20: Mean	CD20: Median	CD20: Min	CD20: Max	CD20: Std.Dev.	CD8: Mean	CD8: Median	CD8: Min	CD8: Max	CD8: Std.Dev.	PDGFRa: Mean	PDGFRa: Median	PDGFRa: Min	PDGFRa: Max	PDGFRa: Std.Dev.	IL8: Mean	IL8: Median	IL8: Min	IL8: Max	IL8: Std.Dev.	GATA6: Mean	GATA6: Median	GATA6: Min	GATA6: Max	GATA6: Std.Dev.	CD45RA: Mean	CD45RA: Median	CD45RA: Min	CD45RA: Max	CD45RA: Std.Dev.	GZMB: Mean	GZMB: Median	GZMB: Min	GZMB: Max	GZMB: Std.Dev.	KI67: Mean	KI67: Median	KI67: Min	KI67: Max	KI67: Std.Dev.	CXCL12: Mean	CXCL12: Median	CXCL12: Min	CXCL12: Max	CXCL12: Std.Dev.	CD3: Mean	CD3: Median	CD3: Min	CD3: Max	CD3: Std.Dev.	S100A2: Mean	S100A2: Median	S100A2: Min	S100A2: Max	S100A2: Std.Dev.	FAP_alpha: Mean	FAP_alpha: Median	FAP_alpha: Min	FAP_alpha: Max	FAP_alpha: Std.Dev.	CD173: Mean	CD173: Median	CD173: Min	CD173: Max	CD173: Std.Dev.	HLADR: Mean	HLADR: Median	HLADR: Min	HLADR: Max	HLADR: Std.Dev.	CD105: Mean	CD105: Median	CD105: Min	CD105: Max	CD105: Std.Dev.	KRT17: Mean	KRT17: Median	KRT17: Min	KRT17: Max	KRT17: Std.Dev.	190BCKG: Mean	190BCKG: Median	190BCKG: Min	190BCKG: Max	190BCKG: Std.Dev.	190Os: Mean	190Os: Median	190Os: Min	190Os: Max	190Os: Std.Dev.	DNA1: Mean	DNA1: Median	DNA1: Min	DNA1: Max	DNA1: Std.Dev.	DNA2: Mean	DNA2: Median	DNA2: Min	DNA2: Max	DNA2: Std.Dev.	PM2: Mean	PM2: Median	PM2: Min	PM2: Max	PM2: Std.Dev.	PM3: Mean	PM3: Median	PM3: Min	PM3: Max	PM3: Std.Dev.	PM4: Mean	PM4: Median	PM4: Min	PM4: Max	PM4: Std.Dev.	204Pb: Mean	204Pb: Median	204Pb: Min	204Pb: Max	204Pb: Std.Dev.	208Pb: Mean	208Pb: Median	208Pb: Min	208Pb: Max	208Pb: Std.Dev.
JHH352_ROI002_ROI_002.ome.tif	1175e71a-293a-42b0-b542-38231d03c824	Detection		Other	Annotation	Polygon	423.59	77.01	0.774	243.3766	57.5559	0.9232	0.9919	19.9532	15.9276	2319.6272	2318	2249	2406	36.2705	0.1864	0	0	1	0.3928	0.1695	0	0	1	0.3784	0.0339	0	0	1	0.1825	0	0	0	0	0	0.7119	1	0	2	0.5887	11.6441	11	8	18	2.0575	25.2712	25	18	30	2.3181	0	0	0	0	0	0.0339	0	0	2	0.2604	0.2034	0	0	1	0.406	0	0	0	0	0	1.9661	2	0	6	1.259	0.0678	0	0	1	0.2536	0.1017	0	0	1	0.3048	0	0	0	0	0	0.0339	0	0	1	0.1825	0	0	0	0	0	1.2373	1	0	2	0.5971	0.0339	0	0	1	0.1825	0	0	0	0	0	0.0169	0	0	1	0.1302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7458	1	0	3	0.7094	0.0169	0	0	1	0.1302	0.0169	0	0	1	0.1302	0.0339	0	0	1	0.1825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0169	0	0	1	0.1302	0.5085	0	0	2	0.5685	0.0339	0	0	1	0.1825	0	0	0	0	0	0.0169	0	0	1	0.1302	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0.4913	0.0169	0	0	1	0.1302	0.0339	0	0	1	0.1825	1.1525	1	0	3	0.7614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.7288	31	1	45	14.8229	45.9153	53	2	85	25.55	0.9661	1	0	4	0.8298	0.6102	1	0	2	0.5576	0.5254	0	0	2	0.568	0.0169	0	0	1	0.1302	0.1186	0	0	1	0.3261
JHH352_ROI002_ROI_002.ome.tif	a5f6bc3d-0938-4fc0-9c60-6b9b37756f08	Detection		Other	Annotation	Polygon	645.56	63.64	0.7713	592.2321	88.2393	0.9558	0.996	30.1233	26.4834	2308.8994	2305	2214	2437	42.5595	0	0	0	0	0	0.396	0	0	1	0.4907	0.0268	0	0	1	0.1622	0.0134	0	0	1	0.1155	0.6376	1	0	2	0.5227	7.6577	8	5	10	1.218	25.0872	25	19	31	2.0531	0	0	0	0	0	0	0	0	0	0	0.3758	0	0	2	0.5387	0	0	0	0	0	1.1275	1	0	5	0.9815	0.0134	0	0	1	0.1155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3221	0	0	2	0.5234	0.7785	1	0	2	0.5308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0268	0	0	1	0.1622	0.0134	0	0	1	0.1155	0	0	0	0	0	0.0067	0	0	1	0.0819	0	0	0	0	0	0	0	0	0	0	0.0067	0	0	1	0.0819	0	0	0	0	0	0.4228	0	0	1	0.4957	0.0067	0	0	1	0.0819	0	0	0	0	0	0.0604	0	0	1	0.239	0.0134	0	0	1	0.1155	0.0067	0	0	1	0.0819	0.3557	0	0	1	0.4803	0.0067	0	0	1	0.0819	0	0	0	0	0	0.4228	0	0	2	0.535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.8322	30	1	51	11.4517	50.2819	54	2	87	20.1354	1.7517	2	0	7	0.8922	1.2215	1	0	6	0.7245	2.443	2	0	7	1.4303	0.0268	0	0	1	0.1622	0.0403	0	0	1	0.1973
JHH352_ROI002_ROI_002.ome.tif	4f99b9db-6e81-42a9-994f-3a531e57a22b	Detection		Other	Annotation	Polygon	400.62	137.74	0.7617	302.1856	64.6572	0.9083	0.9784	21.958	18.7309	2303.3601	2307	2219	2390	40.9098	0.04	0	0	1	0.1973	0.1067	0	0	1	0.3108	0.0267	0	0	1	0.1622	0.0133	0	0	1	0.1155	0.56	1	0	1	0.4997	11.3733	11	8	17	2.2226	25.8933	26	21	33	2.1534	0.0267	0	0	1	0.1622	0	0	0	0	0	0.3333	0	0	1	0.4746	0	0	0	0	0	2.28	2	0	5	0.9381	0.04	0	0	1	0.1973	0.0533	0	0	1	0.2262	0	0	0	0	0	0	0	0	0	0	0.0533	0	0	1	0.2262	0.4667	0	0	2	0.5774	0	0	0	0	0	0	0	0	0	0	0.0267	0	0	1	0.1622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2533	0	0	1	0.4378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0133	0	0	1	0.1155	0.0133	0	0	1	0.1155	0.0133	0	0	1	0.1155	0.28	0	0	1	0.452	0	0	0	0	0	0	0	0	0	0	3.6133	4	0	10	2.2951	0	0	0	0	0	0.0133	0	0	1	0.1155	0.64	1	0	1	0.4832	0	0	0	0	0	0.0267	0	0	1	0.1622	0.92	1	0	3	0.6526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.8133	28	3	47	11.6893	48.32	52	4	93	20.5638	0.6133	1	0	2	0.5171	0.6267	1	0	1	0.4869	0.36	0	0	1	0.4832	0	0	0	0	0	0.0533	0	0	1	0.2262
JHH352_ROI002_ROI_002.ome.tif	98906269-04ea-4212-9742-099cad5a1264	Detection		Other	Annotation	Polygon	132.11	999.36	0.757	243.0454	56.7816	0.9473	1	19.261	15.4691	2320.8206	2319	2232	2404	43.3765	0	0	0	0	0	0.6154	1	0	2	0.5436	1.5897	1	0	4	0.9657	0.359	0	0	1	0.486	0.6667	1	0	2	0.5774	6.3077	6	5	8	0.9502	26.5641	27	19	32	2.7414	0.0256	0	0	1	0.1601	0.0256	0	0	1	0.1601	3	2	0	12	3.0262	0.0769	0	0	1	0.27	2.9487	2	0	13	2.9375	0.1538	0	0	1	0.3655	0.1026	0	0	1	0.3074	0.1026	0	0	2	0.3835	0	0	0	0	0	18.2051	5	0	264	47.9897	1.2821	1	0	3	1.099	0.1795	0	0	2	0.4514	0.0256	0	0	1	0.1601	0.0256	0	0	1	0.1601	0.0256	0	0	1	0.1601	0	0	0	0	0	0	0	0	0	0	0.2308	0	0	1	0.4268	0.0769	0	0	1	0.27	0	0	0	0	0	0.0256	0	0	1	0.1601	0	0	0	0	0	0.2308	0	0	1	0.4268	0.0256	0	0	1	0.1601	0.1282	0	0	1	0.3387	0.6667	1	0	1	0.4776	0.0256	0	0	1	0.1601	0.1282	0	0	1	0.3387	0.0769	0	0	2	0.3543	0.1538	0	0	1	0.3655	0.0513	0	0	1	0.2235	1.7436	2	1	4	0.7853	0.4615	0	0	2	0.6426	0.1026	0	0	1	0.3074	0.9231	1	0	2	0.7393	0.0769	0	0	1	0.27	2.8462	1	0	15	3.7943	0	0	0	0	0	0	0	0	0	0	48.0256	50	4	123	33.6792	85.3077	82	9	237	61.1362	2.7179	3	1	5	0.9445	6.1538	6	3	13	2.368	1.6923	2	1	4	0.731	0.0513	0	0	1	0.2235	0.0513	0	0	1	0.2235
JHH352_ROI002_ROI_002.ome.tif	ef5d4ca1-c028-46ea-946d-38a92f34d42f	Detection		Other	Annotation	Polygon	531	59.79	0.7281	288.1572	63.9988	0.8841	0.9578	21.0311	18.6038	2315	2316	2223	2378	34.0999	0.1408	0	0	1	0.3503	0.2394	0	0	1	0.4298	0.1408	0	0	1	0.3503	0	0	0	0	0	0.9437	1	0	3	0.4101	10.9014	11	8	14	1.7	25.7042	26	21	30	2.0028	0	0	0	0	0	0	0	0	0	0	0.3099	0	0	1	0.4657	0	0	0	0	0	1.1549	1	0	3	0.6897	0	0	0	0	0	0.3521	0	0	1	0.481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8028	1	0	2	0.6463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0423	0	0	1	0.2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0141	0	0	1	0.1187	0	0	0	0	0	0.4648	0	0	3	0.6286	0.2254	0	0	1	0.4208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5352	1	0	2	0.53	0.0141	0	0	1	0.1187	0.0141	0	0	1	0.1187	0.2958	0	0	1	0.4596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.4085	31	7	62	14.3632	56.3803	55	11	110	26.5213	0.4507	0	0	1	0.5011	0.4789	0	0	1	0.5031	0.1268	0	0	1	0.3351	0	0	0	0	0	0	0	0	0	0
JHH352_ROI002_ROI_002.ome.tif	307fe732-1605-49b0-87d7-8bdb4158f613	Detection		Other	Annotation	Polygon	376.71	53.01	0.7235	244.2173	57.044	0.9431	1	20.2661	15.5761	2305.9207	2301	2210	2453	45.9559	0.1746	0	0	1	0.3827	0.2698	0	0	1	0.4474	0.0317	0	0	1	0.1767	0	0	0	0	0	0.5873	1	0	2	0.5857	11.4127	11	7	16	2.0994	25.8413	26	21	30	2.1493	0	0	0	0	0	0	0	0	0	0	0.2857	0	0	1	0.4554	0	0	0	0	0	1.619	2	0	4	0.8314	0.0159	0	0	1	0.126	0.1429	0	0	1	0.3527	0	0	0	0	0	0.0476	0	0	1	0.2147	0	0	0	0	0	1.0952	1	0	2	0.5302	0	0	0	0	0	0	0	0	0	0	0.0317	0	0	1	0.1767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5556	0	0	3	0.6904	0	0	0	0	0	0	0	0	0	0	0.0159	0	0	1	0.126	0.0159	0	0	1	0.126	0.0159	0	0	1	0.126	0	0	0	0	0	0.0476	0	0	1	0.2147	0.381	0	0	1	0.4895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0317	0	0	1	0.1767	0.0476	0	0	1	0.2147	0.8413	1	0	2	0.545	0.0159	0	0	1	0.126	0	0	0	0	0	1.3175	1	0	4	0.8196	0.0159	0	0	1	0.126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.8095	22	1	64	14.6098	42.6825	41	4	118	26.1249	0.7619	1	0	3	0.7343	0.8889	1	0	4	0.7852	0.4444	0	0	1	0.5009	0.0159	0	0	1	0.126	0.1111	0	0	1	0.3168
JHH352_ROI002_ROI_002.ome.tif	7f6b0f35-1b48-403f-8c11-becb4f20d90d	Detection		Other	Annotation	Polygon	661.96	41.49	0.7082	889.202	113.6763	0.8647	0.9508	38.7924	31.2988	2310.686	2306	2198	2440	42.6976	0	0	0	0	0	0.278	0	0	1	0.449	0.0224	0	0	1	0.1484	0.0135	0	0	1	0.1155	0.5964	1	0	2	0.5097	7.7534	8	5	10	1.0769	25.4709	25	21	32	1.912	0	0	0	0	0	0	0	0	0	0	0.3049	0	0	1	0.4614	0	0	0	0	0	1.0583	1	0	4	0.8227	0	0	0	0	0	0.0045	0	0	1	0.067	0	0	0	0	0	0	0	0	0	0	0.1704	0	0	7	0.606	0.4933	0	0	2	0.5274	0.0045	0	0	1	0.067	0	0	0	0	0	0	0	0	0	0	0.0179	0	0	2	0.1634	0	0	0	0	0	0	0	0	0	0	0.0179	0	0	1	0.133	0.009	0	0	1	0.0945	0	0	0	0	0	0.009	0	0	1	0.0945	0	0	0	0	0	0.0135	0	0	1	0.1155	0.0045	0	0	1	0.067	0.009	0	0	1	0.0945	0.2511	0	0	2	0.4449	0	0	0	0	0	0.009	0	0	1	0.0945	0	0	0	0	0	0.0045	0	0	1	0.067	0	0	0	0	0	0.2646	0	0	1	0.4421	0	0	0	0	0	0	0	0	0	0	0.3318	0	0	1	0.4719	0.0045	0	0	1	0.067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.9013	27	7	49	8.7765	48.8386	49	10	83	15.3942	1.3139	1	0	3	0.5775	1.0269	1	0	3	0.4925	1.7265	2	0	6	0.9779	0.0045	0	0	1	0.067	0.0269	0	0	1	0.1622
JHH352_ROI002_ROI_002.ome.tif	fd0b1b0f-3261-44dd-9296-f141501e5fbc	Detection		Other	Annotation	Polygon	630.6	119.84	0.7078	1412.7534	153.7631	0.7509	0.9853	65.0055	29.8189	2296.4375	2296	2172	2401	42.3157	0.0199	0	0	1	0.1398	0.3693	0	0	1	0.4833	0.0312	0	0	1	0.1742	0.0568	0	0	1	0.2318	0.8977	1	0	10	0.8873	7.5795	8	4	11	1.1445	25.1932	25	19	33	2.1209	0.0085	0	0	1	0.0921	0.0028	0	0	1	0.0533	0.3807	0	0	4	0.5822	0.0028	0	0	1	0.0533	1.1335	1	0	6	0.9529	0.0085	0	0	1	0.0921	0.0341	0	0	3	0.248	0	0	0	0	0	0	0	0	0	0	0.5483	0	0	4	0.8725	0.3295	0	0	7	0.8056	0.0085	0	0	1	0.0921	0	0	0	0	0	0.0199	0	0	1	0.1398	0.0341	0	0	2	0.1968	0.0369	0	0	2	0.2169	0	0	0	0	0	0.0653	0	0	1	0.2475	0.017	0	0	1	0.1296	0	0	0	0	0	0.0028	0	0	1	0.0533	0	0	0	0	0	0.0085	0	0	1	0.0921	0	0	0	0	0	0.0057	0	0	1	0.0753	0.5881	1	0	3	0.6162	0	0	0	0	0	0.0057	0	0	1	0.0753	0.0085	0	0	1	0.0921	0	0	0	0	0	0.0057	0	0	1	0.0753	0.4347	0	0	3	0.5956	0.0199	0	0	1	0.1398	0	0	0	0	0	0.3324	0	0	2	0.4837	0.0057	0	0	1	0.0753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.6193	29	1	65	12.7602	50.8778	52.5	3	110	22.6537	1.9318	2	0	7	0.9281	1.4403	1	0	9	0.9678	2.4432	2	0	9	1.6109	0.0369	0	0	1	0.1889	0.0426	0	0	1	0.2023
JHH352_ROI002_ROI_002.ome.tif	8887a71a-46e8-4382-8901-e9b11fdb9ba7	Detection		Other	Annotation	Polygon	376.19	34.89	0.7043	185.9815	49.7874	0.9428	1	17.3785	13.3891	2304.3264	2306	2192	2407	45.8909	0.0204	0	0	1	0.1429	0.1633	0	0	1	0.3734	0.0612	0	0	1	0.2422	0	0	0	0	0	1.0816	1	0	2	0.4489	11.0204	11	9	15	1.4504	26	26	22	30	1.9257	0	0	0	0	0	0	0	0	0	0	0.2857	0	0	1	0.4564	0	0	0	0	0	2.3469	2	1	5	0.9693	0.0408	0	0	1	0.1999	0	0	0	0	0	0	0	0	0	0	0.102	0	0	1	0.3058	0	0	0	0	0	0.3673	0	0	1	0.4871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6939	1	0	2	0.5479	0.0408	0	0	1	0.1999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1429	0	0	1	0.3536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7347	1	0	2	0.5313	0	0	0	0	0	0	0	0	0	0	1.3878	1	1	2	0.4923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.6327	22	3	39	9.1417	39.6735	42	7	74	16.228	1.1224	1	0	2	0.4845	1	1	0	2	0.5774	0.4898	0	0	2	0.6165	0.0204	0	0	1	0.1429	0.0612	0	0	1	0.2422
JHH352_ROI002_ROI_002.ome.tif	dc033bc6-0e6c-47ca-8724-525f28a2a713	Detection		Other	Annotation	Polygon	395.72	23.34	0.6933	98.9917	37.4435	0.8873	0.9763	12.6036	10.7832	2310.48	2304	2194	2464	64.2587	0.04	0	0	1	0.2	0.2	0	0	1	0.4082	0.16	0	0	1	0.3742	0	0	0	0	0	1.2	1	0	2	0.5	12	11	9	18	2.1602	25.36	25	19	30	2.3608	0.04	0	0	1	0.2	0	0	0	0	0	0.12	0	0	1	0.3317	0	0	0	0	0	0.92	1	0	3	0.6403	0.04	0	0	1	0.2	0.24	0	0	1	0.4359	0	0	0	0	0	0.04	0	0	1	0.2	0	0	0	0	0	1.08	1	0	2	0.6403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	1	0.2	0.04	0	0	1	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	1	0.2	0	0	0	0	0	0.32	0	0	1	0.4761	0.4	0	0	2	0.6455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	1	0.2	0.72	1	0	3	0.8426	0	0	0	0	0	0	0	0	0	0	0.48	0	0	1	0.5099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.32	33	3	80	27.792	63.2	59	4	148	50.1465	0.32	0	0	1	0.4761	0.56	1	0	1	0.5066	0.36	0	0	1	0.4899	0.04	0	0	1	0.2	0.2	0	0	1	0.4082
