x,y,z,ecm
-490,280,0,2.81000
-470,280,0,2.19000
-450,280,0,4.20250
-430,280,0,3.65250
-410,280,0,2.82250
-390,280,0,4.18750
-370,280,0,3.18000
-350,280,0,4.07750
-330,280,0,5.93000
-310,280,0,3.51500
-290,280,0,3.70750
-270,280,0,3.46500
-250,280,0,3.69000
-230,280,0,2.87000
-210,280,0,3.19000
-190,280,0,2.69250
-170,280,0,2.37500
-150,280,0,2.46250
-130,280,0,2.46250
-110,280,0,2.31500
-90,280,0,2.26250
-70,280,0,3.39000
-50,280,0,3.39500
-30,280,0,2.98500
-10,280,0,2.90500
10,280,0,3.67250
30,280,0,3.55750
50,280,0,2.59000
70,280,0,0.150000
90,280,0,3.54750
110,280,0,4.57000
130,280,0,6.63500
150,280,0,4.90250
170,280,0,4.42000
190,280,0,5.08000
210,280,0,3.85250
230,280,0,3.03000
250,280,0,3.26000
270,280,0,3.68500
290,280,0,4.05250
310,280,0,4.62250
330,280,0,5.21000
350,280,0,5.07750
370,280,0,4.49250
390,280,0,4.43750
410,280,0,5.12500
430,280,0,4.04750
450,280,0,4.97000
470,280,0,3.45250
490,280,0,4.10000
-490,260,0,3.10500
-470,260,0,3.58250
-450,260,0,3.27500
-430,260,0,3.03750
-410,260,0,2.75500
-390,260,0,3.06250
-370,260,0,2.91750
-350,260,0,3.44500
-330,260,0,3.82750
-310,260,0,3.47000
-290,260,0,3.74250
-270,260,0,3.72500
-250,260,0,3.22750
-230,260,0,3.90250
-210,260,0,3.17750
-190,260,0,2.76000
-170,260,0,2.42250
-150,260,0,2
-130,260,0,2.11500
-110,260,0,2.71500
-90,260,0,3.16000
-70,260,0,2.54750
-50,260,0,3.26750
-30,260,0,3.36750
-10,260,0,3.61750
10,260,0,4.47500
30,260,0,3.78000
50,260,0,2.37750
70,260,0,0.512500
90,260,0,1.88750
110,260,0,6.28750
130,260,0,6.87500
150,260,0,7.39750
170,260,0,6.02500
190,260,0,5.11500
210,260,0,4.40250
230,260,0,2.63250
250,260,0,3.44750
270,260,0,3.41250
290,260,0,5.73500
310,260,0,5.82000
330,260,0,4.72750
350,260,0,4.03500
370,260,0,6.01000
390,260,0,4.91250
410,260,0,4.88500
430,260,0,4.93500
450,260,0,4.39750
470,260,0,4.68000
490,260,0,5.56250
-490,240,0,2.82750
-470,240,0,3.99000
-450,240,0,2.73500
-430,240,0,3.36500
-410,240,0,2.75250
-390,240,0,3.19500
-370,240,0,3.52000
-350,240,0,4.27000
-330,240,0,3.98000
-310,240,0,2.41750
-290,240,0,3.09250
-270,240,0,3.13000
-250,240,0,3.14750
-230,240,0,3.86000
-210,240,0,3.14750
-190,240,0,2.76250
-170,240,0,2.92750
-150,240,0,2.43500
-130,240,0,2.81750
-110,240,0,2.86750
-90,240,0,2.93500
-70,240,0,2.37750
-50,240,0,2.86000
-30,240,0,3.07250
-10,240,0,2.56750
10,240,0,4.67500
30,240,0,5.12000
50,240,0,3.01250
70,240,0,0.892500
90,240,0,0.472500
110,240,0,6.52500
130,240,0,5.81750
150,240,0,8.67750
170,240,0,6.47250
190,240,0,4.53250
210,240,0,3.53500
230,240,0,2.55000
250,240,0,3.46250
270,240,0,3.40000
290,240,0,5.77250
310,240,0,6.27000
330,240,0,4.23250
350,240,0,5.01000
370,240,0,5.78500
390,240,0,4.98750
410,240,0,4.71750
430,240,0,4.16500
450,240,0,4.85250
470,240,0,4.41250
490,240,0,4.44750
-490,220,0,2.35000
-470,220,0,2.41500
-450,220,0,2.38500
-430,220,0,3.10000
-410,220,0,3.29500
-390,220,0,3.78250
-370,220,0,4.03000
-350,220,0,3.52500
-330,220,0,2.57500
-310,220,0,2.67500
-290,220,0,3.21000
-270,220,0,2.82250
