x,y,z,ecm
-490,490,0,0.003317629885210006
-470,490,0,0.04312918850773008
-450,490,0,1.0384181540707318
-430,490,0,10.0
-410,490,0,8.765178156724836
-390,490,0,9.690796894698428
-370,490,0,9.893172317696239
-350,490,0,9.146705593523986
-330,490,0,7.7466657819653655
-310,490,0,9.266140269391546
-290,490,0,9.262822639506338
-270,490,0,8.493132506137616
-250,490,0,0.38152743679915063
-230,490,0,0.24882224139075043
-210,490,0,5.6665118439386895
-190,490,0,7.965629354389225
-170,490,0,7.736712892309734
-150,490,0,2.5943865702342253
-130,490,0,0.5772676000265411
-110,490,0,1.7649790989317231
-90,490,0,6.05135691062305
-70,490,0,10.0
-50,490,0,8.323933381991905
-30,490,0,9.465198062504147
-10,490,0,8.632472961316434
10,490,0,6.698294738239002
30,490,0,2.9493729679516956
50,490,0,4.196801804790658
70,490,0,9.140070333753567
90,490,0,7.7234423727688934
110,490,0,6.6518479198460625
130,490,0,8.237675004976445
150,490,0,4.299648331232168
170,490,0,5.125738172649459
190,490,0,6.721518147435472
210,490,0,7.096410324464203
230,490,0,6.326720191095482
250,490,0,5.4475482715148305
270,490,0,6.114391878442041
290,490,0,8.148098998075774
310,490,0,6.339990710636322
330,490,0,6.6385774003052225
350,490,0,6.323402561210271
370,490,0,9.956207285515228
390,490,0,4.176896025479397
410,490,0,3.1351602415234554
430,490,0,6.0978037290159905
450,490,0,8.486497246367195
470,490,0,8.396921239466526
490,490,0,8.532944064760136
-490,470,0,0.059717337933780104
-470,470,0,0.19905779311260036
-450,470,0,5.281666777254329
-430,470,0,10.0
-410,470,0,9.627761926879439
-390,470,0,10.0
-370,470,0,8.619202441775597
-350,470,0,10.0
-330,470,0,9.737243713091368
-310,470,0,9.949572025744807
-290,470,0,10.0
-270,470,0,9.269457899276757
-250,470,0,3.4934642691261364
-230,470,0,0.6900670161236813
-210,470,0,2.4981753035631344
-190,470,0,9.246234490080287
-170,470,0,6.817729414106562
-150,470,0,10.0
-130,470,0,10.0
-110,470,0,8.367062570499634
-90,470,0,10.0
-70,470,0,10.0
-50,470,0,8.499767765908036
-30,470,0,7.7499834118505735
-10,470,0,3.1451131311790856
10,470,0,0.2853161701280605
30,470,0,0.2853161701280605
50,470,0,5.27503151748391
70,470,0,8.801672085462148
90,470,0,6.777917855484042
110,470,0,7.099727954349413
130,470,0,8.297392342910225
150,470,0,4.561741092163759
170,470,0,9.577997478601288
190,470,0,7.093092694578993
210,470,0,9.601220887797759
230,470,0,6.147568177294142
250,470,0,6.257049963506072
270,470,0,8.028664322208215
290,470,0,7.962311724504014
310,470,0,8.284121823369384
330,470,0,8.254263154402494
350,470,0,9.110211664786677
370,470,0,8.632472961316434
390,470,0,6.917258310662863
410,470,0,8.022029062437795
430,470,0,8.406874129122155
450,470,0,10.0
470,470,0,9.475150952159776
490,470,0,9.302634198128857
-490,450,0,0.24550461150554043
-470,450,0,2.345564328843474
-450,450,0,9.999336474022959
-430,450,0,10.0
-410,450,0,10.0
-390,450,0,10.0
-370,450,0,10.0
-350,450,0,10.0
-330,450,0,10.0
-310,450,0,8.811624975117775
-290,450,0,10.0
-270,450,0,10.0
-250,450,0,2.5346692323004443
-230,450,0,2.1896357242386038
-210,450,0,6.187379735916661
-190,450,0,7.040010616415633
-170,450,0,7.915864906111074
-150,450,0,8.055205361289895
-130,450,0,8.101652179682835
-110,450,0,10.0
-90,450,0,9.859996018844138
-70,450,0,7.803065490013934
-50,450,0,5.16554973127198
-30,450,0,1.1678057195939222
-10,450,0,0.24882224139075043
10,450,0,0.19242253334218032
30,450,0,1.658814942605003
50,450,0,2.511445823103975
70,450,0,4.382589078362418
90,450,0,6.933846460088912
110,450,0,7.139539512971933
130,450,0,7.4513967221816735
150,450,0,5.228584699090969
170,450,0,6.492601685355982
190,450,0,7.448079092296464
210,450,0,6.764647335943202
230,450,0,8.509720655563665
250,450,0,8.304027602680646
270,450,0,7.988852763585694
290,450,0,6.7746002255988325
310,450,0,8.592661402693915
330,450,0,9.989383584367328
350,450,0,10.0
370,450,0,10.0
390,450,0,10.0
410,450,0,9.126799814212728
430,450,0,10.0
450,450,0,10.0
470,450,0,7.3153738968880635
490,450,0,5.59352398646407
-490,430,0,3.891579855351337
-470,430,0,10.0
-450,430,0,10.0
-430,430,0,8.569437993497445
-410,430,0,8.022029062437795
-390,430,0,10.0
-370,430,0,10.0
-350,430,0,10.0
-330,430,0,10.0
-310,430,0,10.0
-290,430,0,8.911153871674076
-270,430,0,10.0
-250,430,0,5.67978236347953
-230,430,0,7.554243248623184
-210,430,0,8.177957667042664
-190,430,0,7.444761462411254
-170,430,0,5.98500431291885
-150,430,0,5.1622321013867705
-130,430,0,10.0
-110,430,0,9.816866830336409
-90,430,0,6.850905712958662
-70,430,0,4.7707517749319885
-50,430,0,0.2255988321942804
-30,430,0,0.2819985402428505
-10,430,0,0.537456041404021
10,430,0,2.7901267334616153
30,430,0,3.9745206024815873
50,430,0,6.031451131311791
70,430,0,5.67978236347953
90,430,0,5.958463273837172
110,430,0,8.144781368190564
130,430,0,9.800278680910356
150,430,0,4.853692522062239
170,430,0,4.266472032380068
190,430,0,4.701081547342579
210,430,0,1.549333156393073
230,430,0,3.397253002455046
250,430,0,5.6499236945126405
270,430,0,5.99827483245969
290,430,0,7.1793510715944535
310,430,0,8.851436533740296
330,430,0,9.524915400437928
350,430,0,9.116846924557096
370,430,0,8.947647800411385
390,430,0,8.947647800411385
410,430,0,9.352398646407007
430,430,0,8.609249552119966
450,430,0,4.724304956539049
470,430,0,0.4080684758808307
490,430,0,0.16588149426050028
-490,410,0,10.0
-470,410,0,10.0
-450,410,0,7.8826886072589755
-430,410,0,8.582708513038286
-410,410,0,8.396921239466526
-390,410,0,10.0
-370,410,0,10.0
-350,410,0,10.0
-330,410,0,9.057129586623317
-310,410,0,10.0
-290,410,0,10.0
-270,410,0,10.0
-250,410,0,9.697432154468848
-230,410,0,9.773737641828678
-210,410,0,6.7878707451396725
-190,410,0,5.815805188773141
-170,410,0,6.359896489947582
-150,410,0,7.381726494592264
-130,410,0,10.0
-110,410,0,6.957069869285383
-90,410,0,4.936633269192489
-70,410,0,0.8061840621060314
-50,410,0,0.5772676000265411
-30,410,0,4.110543427775198
-10,410,0,5.072656094486099
10,410,0,6.379802269258842
30,410,0,7.116316103775463
50,410,0,3.9612500829407473
70,410,0,5.082608984141729
90,410,0,4.342777519739897
110,410,0,6.482648795700352
130,410,0,8.675602149824165
150,410,0,6.2338265543096005
170,410,0,0.8095016919912414
190,410,0,0.48437396324066084
210,410,0,0.31849246898016054
230,410,0,1.2374759471833323
250,410,0,5.119102912879039
270,410,0,2.3920111472364143
290,410,0,4.624776059982748
310,410,0,8.987459359033906
330,410,0,9.080352995819787
350,410,0,9.086988255590207
370,410,0,10.0
390,410,0,10.0
410,410,0,9.126799814212728
430,410,0,5.566982947382391
450,410,0,0.5872204896821711
470,410,0,0.2322340919647004
490,410,0,0.6701612368124212
-490,390,0,9.402163094685157
-470,390,0,8.542896954415765
-450,390,0,9.976113064826489
-430,390,0,8.403556499236945
-410,390,0,9.780372901599097
-390,390,0,6.07458031981952
-370,390,0,10.0
-350,390,0,8.443368057859464
-330,390,0,10.0
-310,390,0,8.582708513038286
-290,390,0,10.0
-270,390,0,10.0
-250,390,0,9.272775529161967
-230,390,0,8.386968349810896
