x,y,z,ecm
-490,-490,0,10.0
-470,-490,0,9.576837416481068
-450,-490,0,7.817371937639197
-430,-490,0,10.0
-410,-490,0,9.638084632516703
-390,-490,0,7.299554565701558
-370,-490,0,9.966592427616925
-350,-490,0,8.981069042316257
-330,-490,0,10.0
-310,-490,0,10.0
-290,-490,0,10.0
-270,-490,0,9.80512249443207
-250,-490,0,9.00890868596882
-230,-490,0,8.268374164810691
-210,-490,0,8.730512249443207
-190,-490,0,7.711581291759465
-170,-490,0,8.123608017817372
-150,-490,0,8.363028953229398
-130,-490,0,5.8240534521158125
-110,-490,0,5.295100222717148
-90,-490,0,4.498886414253898
-70,-490,0,5.556792873051225
-50,-490,0,5.345211581291759
-30,-490,0,7.572383073496659
-10,-490,0,5.679287305122493
10,-490,0,7.967706013363029
30,-490,0,2.577951002227171
50,-490,0,5.467706013363029
70,-490,0,6.063474387527839
90,-490,0,8.162583518930957
110,-490,0,6.887527839643653
130,-490,0,2.8730512249443207
150,-490,0,10.0
170,-490,0,7.232739420935412
190,-490,0,5.155902004454342
210,-490,0,8.88641425389755
230,-490,0,4.905345211581292
250,-490,0,3.9420935412026727
270,-490,0,7.288418708240534
290,-490,0,6.614699331848552
310,-490,0,4.370824053452115
330,-490,0,6.325167037861915
350,-490,0,8.357461024498885
370,-490,0,7.778396436525612
390,-490,0,9.047884187082404
410,-490,0,10.0
430,-490,0,9.075723830734967
450,-490,0,9.081291759465477
470,-490,0,10.0
490,-490,0,10.0
-490,-470,0,10.0
-470,-470,0,10.0
-450,-470,0,9.916481069042316
-430,-470,0,9.799554565701559
-410,-470,0,6.93207126948775
-390,-470,0,8.858574610244988
-370,-470,0,8.975501113585747
-350,-470,0,7.923162583518931
-330,-470,0,9.45991091314031
-310,-470,0,8.669265033407571
-290,-470,0,8.880846325167036
-270,-470,0,10.0
-250,-470,0,10.0
-230,-470,0,8.674832962138083
-210,-470,0,9.587973273942092
-190,-470,0,8.685968819599108
-170,-470,0,7.611358574610244
-150,-470,0,7.377505567928731
-130,-470,0,5.161469933184854
-110,-470,0,3.7973273942093537
-90,-470,0,3.9031180400890864
-70,-470,0,5.306236080178173
-50,-470,0,4.50445434298441
-30,-470,0,5.317371937639198
-10,-470,0,6.575723830734966
10,-470,0,9.142538975501115
30,-470,0,6.035634743875278
50,-470,0,7.121380846325166
70,-470,0,6.976614699331848
90,-470,0,6.4755011135857465
110,-470,0,8.891982182628063
130,-470,0,5.350779510022271
150,-470,0,5.267260579064588
170,-470,0,10.0
190,-470,0,8.151447661469932
210,-470,0,5.985523385300668
230,-470,0,4.2928730512249444
250,-470,0,9.125835189309576
270,-470,0,4.638084632516703
290,-470,0,4.77728285077951
310,-470,0,5.9465478841870825
330,-470,0,5.612472160356347
350,-470,0,8.079064587973274
370,-470,0,6.625835189309576
390,-470,0,7.5
410,-470,0,9.905345211581292
430,-470,0,9.537861915367483
450,-470,0,8.429844097995545
470,-470,0,10.0
490,-470,0,10.0
-490,-450,0,9.253897550111358
-470,-450,0,9.844097995545656
-450,-450,0,10.0
-430,-450,0,9.821826280623608
-410,-450,0,7.845211581291759
-390,-450,0,9.28730512249443
-370,-450,0,8.74164810690423
-350,-450,0,10.0
-330,-450,0,9.448775055679286
-310,-450,0,9.103563474387528
-290,-450,0,8.518930957683741
-270,-450,0,10.0
-250,-450,0,8.819599109131403
-230,-450,0,8.11804008908686
-210,-450,0,8.257238307349667
-190,-450,0,5.200445434298441
-170,-450,0,6.291759465478842
-150,-450,0,4.50445434298441
-130,-450,0,4.3763919821826285
-110,-450,0,3.830734966592427
-90,-450,0,6.325167037861915
-70,-450,0,6.792873051224944
-50,-450,0,4.548997772828508
-30,-450,0,5.412026726057907
-10,-450,0,4.983296213808463
10,-450,0,6.503340757238307
30,-450,0,5.423162583518931
50,-450,0,7.082405345211581
70,-450,0,9.40423162583519
90,-450,0,4.671492204899778
110,-450,0,6.8318485523385295
130,-450,0,8.268374164810691
150,-450,0,3.4966592427616927
170,-450,0,10.0
190,-450,0,8.54120267260579
210,-450,0,5.228285077951003
230,-450,0,5.757238307349666
250,-450,0,5.105790645879732
270,-450,0,4.008908685968819
290,-450,0,4.515590200445434
310,-450,0,3.307349665924276
330,-450,0,4.771714922048998
350,-450,0,7.728285077951003
370,-450,0,7.2383073496659245
390,-450,0,8.0456570155902
410,-450,0,10.0
430,-450,0,5.974387527839644
450,-450,0,6.692650334075724
470,-450,0,8.468819599109132
490,-450,0,7.249443207126948
-490,-430,0,9.888641425389755
-470,-430,0,10.0
-450,-430,0,9.788418708240533
-430,-430,0,7.900890868596882
-410,-430,0,9.448775055679286
-390,-430,0,10.0
-370,-430,0,8.574610244988865
-350,-430,0,9.799554565701559
-330,-430,0,8.708240534521158
-310,-430,0,10.0
-290,-430,0,9.220489977728283
-270,-430,0,9.677060133630288
-250,-430,0,10.0
-230,-430,0,6.865256124721604
-210,-430,0,6.792873051224944
-190,-430,0,5.439866369710468
-170,-430,0,7.622494432071268
-150,-430,0,5.773942093541202
-130,-430,0,4.626948775055679
-110,-430,0,6.135857461024498
-90,-430,0,5.829621380846325
-70,-430,0,7.416481069042316
-50,-430,0,4.008908685968819
-30,-430,0,4.220489977728285
-10,-430,0,3.8641425389755013
10,-430,0,6.581291759465478
30,-430,0,9.437639198218262
50,-430,0,7.332962138084632
70,-430,0,5.723830734966592
90,-430,0,6.870824053452116
110,-430,0,5.673719376391981
130,-430,0,8.546770601336302
150,-430,0,4.471046770601336
170,-430,0,10.0
190,-430,0,10.0
210,-430,0,5.111358574610244
230,-430,0,3.9309576837416476
250,-430,0,5.2616926503340755
270,-430,0,3.9365256124721606
290,-430,0,2.8897550111358576
310,-430,0,3.3741648106904227
330,-430,0,4.966592427616926
350,-430,0,8.234966592427616
370,-430,0,7.694877505567929
390,-430,0,6.464365256124721
410,-430,0,10.0
430,-430,0,7.817371937639197
450,-430,0,10.0
470,-430,0,7.55011135857461
490,-430,0,10.0
-490,-410,0,7.149220489977727
-470,-410,0,7.806236080178173
-450,-410,0,9.28730512249443
-430,-410,0,9.80512249443207
-410,-410,0,7.928730512249444
-390,-410,0,9.376391982182628
-370,-410,0,9.933184855233852
-350,-410,0,9.537861915367483
-330,-410,0,9.593541202672606
-310,-410,0,9.376391982182628
-290,-410,0,8.797327394209354
-270,-410,0,8.780623608017816
-250,-410,0,10.0
-230,-410,0,7.555679287305122
-210,-410,0,6.714922048997773
-190,-410,0,5.606904231625835
-170,-410,0,4.560133630289532
-150,-410,0,4.587973273942094
-130,-410,0,3.9365256124721606
-110,-410,0,4.743875278396436
-90,-410,0,4.476614699331848
