x,y,z,ecm
-490,-490,0,3.48500
-470,-490,0,1.45750
-450,-490,0,1.02000
-430,-490,0,1.11500
-410,-490,0,1.94750
-390,-490,0,1.84000
-370,-490,0,1.70750
-350,-490,0,2.04750
-330,-490,0,2.10000
-310,-490,0,3.05250
-290,-490,0,3.78250
-270,-490,0,2.66500
-250,-490,0,3.29500
-230,-490,0,4.31750
-210,-490,0,3.69750
-190,-490,0,1.80000
-170,-490,0,1.64500
-150,-490,0,1.74500
-130,-490,0,1.81500
-110,-490,0,1.06250
-90,-490,0,1.15250
-70,-490,0,1.00500
-50,-490,0,0.952500
-30,-490,0,0.780000
-10,-490,0,1.06500
10,-490,0,0.850000
30,-490,0,0.712500
50,-490,0,0.492500
70,-490,0,0.720000
90,-490,0,0.667500
110,-490,0,0.895000
130,-490,0,0.742500
150,-490,0,0.815000
170,-490,0,0.925000
190,-490,0,0.827500
210,-490,0,0.967500
230,-490,0,0.350000
250,-490,0,0.385000
270,-490,0,0.440000
290,-490,0,0.565000
310,-490,0,0.345000
330,-490,0,0.432500
350,-490,0,0.395000
370,-490,0,0.387500
390,-490,0,0.360000
410,-490,0,0.482500
430,-490,0,0.247500
450,-490,0,0.497500
470,-490,0,0.355000
490,-490,0,0.387500
-490,-470,0,1.77000
-470,-470,0,3.00750
-450,-470,0,3.51000
-430,-470,0,1.68250
-410,-470,0,2.27750
-390,-470,0,1.53250
-370,-470,0,1.46500
-350,-470,0,1.93750
-330,-470,0,1.33500
-310,-470,0,2.33250
-290,-470,0,2.10500
-270,-470,0,2.27000
-250,-470,0,1.71750
-230,-470,0,1.24750
-210,-470,0,1.75750
-190,-470,0,1.52500
-170,-470,0,1.11750
-150,-470,0,1.07500
-130,-470,0,0.977500
-110,-470,0,1.00250
-90,-470,0,0.960000
-70,-470,0,0.650000
-50,-470,0,0.727500
-30,-470,0,0.617500
-10,-470,0,0.430000
10,-470,0,0.787500
30,-470,0,0.987500
50,-470,0,0.567500
70,-470,0,0.810000
90,-470,0,1.01750
110,-470,0,0.822500
130,-470,0,0.767500
150,-470,0,0.715000
170,-470,0,0.470000
190,-470,0,0.230000
210,-470,0,0.100000
230,-470,0,0.157500
250,-470,0,0.295000
270,-470,0,0.302500
290,-470,0,0.515000
310,-470,0,0.525000
330,-470,0,0.502500
350,-470,0,0.702500
370,-470,0,1.03000
390,-470,0,0.865000
410,-470,0,0.415000
430,-470,0,0.210000
450,-470,0,0.232500
470,-470,0,0.312500
490,-470,0,0.327500
-490,-450,0,1.88000
-470,-450,0,1.49500
-450,-450,0,2.87000
-430,-450,0,1.58750
-410,-450,0,1.80000
-390,-450,0,1.43000
-370,-450,0,1.37750
-350,-450,0,2.17250
-330,-450,0,1.76250
-310,-450,0,1.77000
-290,-450,0,1.94000
-270,-450,0,1.38750
-250,-450,0,1.59500
-230,-450,0,1.48000
-210,-450,0,1.18000
-190,-450,0,0.675000
-170,-450,0,0.882500
-150,-450,0,0.855000
-130,-450,0,1.27000
-110,-450,0,0.970000
-90,-450,0,0.477500
-70,-450,0,0.250000
-50,-450,0,0.115000
-30,-450,0,0.157500
-10,-450,0,0.172500
10,-450,0,0.240000
30,-450,0,0.430000
50,-450,0,0.655000
70,-450,0,0.642500
90,-450,0,0.645000
110,-450,0,1.49250
130,-450,0,0.962500
150,-450,0,1.12250
170,-450,0,0.542500
190,-450,0,0.217500
210,-450,0,0.107500
230,-450,0,0.137500
250,-450,0,0.212500
270,-450,0,0.185000
290,-450,0,0.512500
310,-450,0,0.300000
330,-450,0,0.905000
350,-450,0,1.06750
370,-450,0,0.650000
390,-450,0,0.552500
410,-450,0,0.387500
430,-450,0,0.200000
450,-450,0,0.202500
470,-450,0,0.572500
490,-450,0,0.297500
-490,-430,0,1.83500
-470,-430,0,1.38000
-450,-430,0,1.12250
-430,-430,0,1.44500
-410,-430,0,1.39750
-390,-430,0,1.92750
-370,-430,0,1.02250
-350,-430,0,0.707500
-330,-430,0,1.40750
-310,-430,0,2.62000
-290,-430,0,1.45750
-270,-430,0,1.88750
-250,-430,0,1.59500
-230,-430,0,1.15250
-210,-430,0,0.840000
-190,-430,0,0.630000
-170,-430,0,0.342500
-150,-430,0,0.380000
-130,-430,0,0.380000
-110,-430,0,0.300000
-90,-430,0,0.122500
-70,-430,0,0.0525000
-50,-430,0,0.0650000
-30,-430,0,0.0725000
-10,-430,0,0.0575000
