x,y,z,ecm
-540,540,0,0.287500
-520,540,0,3.40250
-500,540,0,8.51000
-480,540,0,5.15250
-460,540,0,3.26500
-440,540,0,1.29750
-420,540,0,1.28000
-400,540,0,2.14250
-380,540,0,5.52000
-360,540,0,12.8100
-340,540,0,11.2825
-320,540,0,7.08500
-300,540,0,7.02500
-280,540,0,8.14250
-260,540,0,7.06500
-240,540,0,5.40000
-220,540,0,7.11750
-200,540,0,7.90750
-180,540,0,7.15750
-160,540,0,10.0150
-140,540,0,8.75500
-120,540,0,5.37250
-100,540,0,6.88500
-80,540,0,9.50000
-60,540,0,8.24250
-40,540,0,7.77250
-20,540,0,8.03500
0,540,0,7.26750
20,540,0,7.65250
40,540,0,5.98250
60,540,0,7.66500
80,540,0,9.10750
100,540,0,7.45750
120,540,0,7.50750
140,540,0,7.75750
160,540,0,9.95250
180,540,0,8.14250
200,540,0,5.84000
220,540,0,7.79750
240,540,0,0.222500
260,540,0,1.31000
280,540,0,6.83500
300,540,0,6.38500
320,540,0,2.54500
340,540,0,5.78750
360,540,0,5.05250
380,540,0,7.89750
400,540,0,8.16500
420,540,0,5.02750
440,540,0,8.90750
460,540,0,9.44250
480,540,0,11.3050
500,540,0,14.6575
520,540,0,13.1925
540,540,0,6.43000
-540,520,0,0.792500
-520,520,0,4.92250
-500,520,0,5.93250
-480,520,0,6.73250
-460,520,0,4.67000
-440,520,0,4.82250
-420,520,0,5.61250
-400,520,0,7.56000
-380,520,0,8.14750
-360,520,0,4.24000
-340,520,0,0.317500
-320,520,0,0.462500
-300,520,0,7.56500
-280,520,0,7.27500
-260,520,0,5.02000
-240,520,0,4.47000
-220,520,0,5.38250
-200,520,0,5.97500
-180,520,0,6.01500
-160,520,0,5.22750
-140,520,0,8.25000
-120,520,0,6.36500
-100,520,0,7.88250
-80,520,0,8.77250
-60,520,0,7.90250
-40,520,0,6.64750
-20,520,0,10.9300
0,520,0,6.29250
20,520,0,4.78000
40,520,0,7.31250
60,520,0,5.36250
80,520,0,6.68750
100,520,0,6.45000
120,520,0,6.17500
140,520,0,6.92000
160,520,0,7.06000
180,520,0,6.41000
200,520,0,6.07750
220,520,0,5.62500
240,520,0,0.340000
260,520,0,2.95250
280,520,0,6.88250
300,520,0,4.43500
320,520,0,2.90750
340,520,0,7.99000
360,520,0,4.30750
380,520,0,7.30750
400,520,0,7.63000
420,520,0,8.62000
440,520,0,9.14250
460,520,0,14.1275
480,520,0,14.9300
500,520,0,7.21750
520,520,0,13.0550
540,520,0,10.8050
-540,500,0,4.76000
-520,500,0,4.65750
-500,500,0,4.29250
-480,500,0,4.28750
-460,500,0,4.62500
-440,500,0,5.71250
-420,500,0,4.19500
-400,500,0,3.99250
-380,500,0,5.31250
-360,500,0,0.387500
-340,500,0,0.212500
-320,500,0,1.92500
-300,500,0,7.19250
-280,500,0,5.69250
-260,500,0,4.37500
-240,500,0,5.66000
-220,500,0,7.18500
-200,500,0,9.40750
-180,500,0,8.97500
-160,500,0,5.83000
-140,500,0,8.26250
-120,500,0,9.46500
