x,y,z,ecm
-540,540,0,0.31601741118536797
-520,540,0,3.7399973619416156
-500,540,0,9.354115371086891
-480,540,0,5.663581603939508
-460,540,0,3.5888586000703526
-440,540,0,1.4262003165670083
-420,540,0,1.4069644741470295
-400,540,0,2.3550167077031334
-380,540,0,6.067534294759064
-360,540,0,10.0
-340,540,0,10.0
-320,540,0,7.787768202602894
-300,540,0,7.7218167428772535
-280,540,0,8.950162680267335
-260,540,0,7.765784382694347
-240,540,0,5.935631375307782
-220,540,0,7.823491909954283
-200,540,0,8.691852796341905
-180,540,0,7.867459549771377
-160,540,0,10.0
-140,540,0,9.623417164966598
-120,540,0,5.9054036229335285
-100,540,0,7.5679300035174215
-80,540,0,10.0
-60,540,0,9.060081779810071
-40,540,0,8.543462011959209
-20,540,0,8.831999648258893
0,540,0,7.988370559268389
20,540,0,8.411559092507925
40,540,0,6.575910130144221
60,540,0,8.425298979950767
80,540,0,10.0
100,540,0,8.197216848399588
120,540,0,8.252176398170958
140,540,0,8.526974147027799
160,540,0,10.0
180,540,0,8.950162680267335
200,540,0,6.419275413295823
220,540,0,8.570941786844893
240,540,0,0.2445699964825891
260,540,0,1.439940204009851
280,540,0,7.512970453746053
300,540,0,7.018334505803737
320,540,0,2.797441083362649
340,540,0,6.3615678860358855
360,540,0,5.553662504396772
380,540,0,8.680860886387629
400,540,0,8.97489447766445
420,540,0,5.526182729511087
440,540,0,9.791043791769273
460,540,0,10.0
480,540,0,10.0
500,540,0,10.0
520,540,0,10.0
540,540,0,7.067798100597969
-540,520,0,0.8711088638761884
-520,520,0,5.410767674991214
-500,520,0,6.520950580372854
-480,520,0,7.4003033767147475
-460,520,0,5.133221948645803
-440,520,0,5.300848575448476
-420,520,0,6.169209461836096
-400,520,0,8.309883925430894
-380,520,0,8.955658635244472
-360,520,0,4.660569820612036
-340,520,0,0.34899314104818896
-320,520,0,0.5083758353851572
-300,520,0,8.315379880408031
-280,520,0,7.996614491734094
-260,520,0,5.517938797045381
-240,520,0,4.91338374956033
-220,520,0,5.916395532887803
-200,520,0,6.567666197678516
-180,520,0,6.611633837495612
-160,520,0,5.74602092859656
-140,520,0,9.068325712275776
-120,520,0,6.996350685895191
-100,520,0,8.664373021456221
-80,520,0,9.642653007386578
-60,520,0,8.686356841364766
-40,520,0,7.306872142103421
-20,520,0,10.0
0,520,0,6.916659338726706
20,520,0,5.254132958142814
40,520,0,8.037834154062619
60,520,0,5.894411712979254
80,520,0,7.350839781920515
100,520,0,7.089781920506518
120,520,0,6.787504396763991
140,520,0,7.606401688357379
160,520,0,7.76028842771721
180,520,0,7.045814280689422
200,520,0,6.680333274709822
220,520,0,6.182949349278938
240,520,0,0.3737249384453048
260,520,0,3.245361413999301
280,520,0,7.565182026028853
300,520,0,4.874912064720371
320,520,0,3.1958978192050695
340,520,0,8.782536053464662
360,520,0,4.734765212803383
380,520,0,8.032338199085483
400,520,0,8.38682729511081
420,520,0,9.475026380583902
440,520,0,10.0
460,520,0,10.0
480,520,0,10.0
500,520,0,7.93341100949702
520,520,0,10.0
540,520,0,10.0
-540,500,0,5.2321491382342655
-520,500,0,5.119482061202961
-500,500,0,4.718277347871973
-480,500,0,4.712781392894835
-460,500,0,5.083758353851572
-440,500,0,6.279128561378833
-420,500,0,4.611106225817805
-400,500,0,4.388520049243762
-380,500,0,5.839452163207886
-360,500,0,0.4259365107281047
-340,500,0,0.23357808652831544
-320,500,0,2.1159426661976815
-300,500,0,7.9059312346113355
-280,500,0,6.257144741470285
-260,500,0,4.808960604994729
-240,500,0,6.221421034118897
-220,500,0,7.897687302145631
-200,500,0,10.0
-180,500,0,9.865239183960618
-160,500,0,6.408283503341549
-140,500,0,9.082065599718618
-120,500,0,10.0
-100,500,0,9.444798628209648
-80,500,0,7.982874604291252
-60,500,0,8.013102356665504
-40,500,0,6.18020137179037
-20,500,0,8.018598311642641
0,500,0,6.6281217024270225
20,500,0,5.394279810059802
40,500,0,6.350575976081611
60,500,0,6.378055750967296
80,500,0,4.918879704537466
100,500,0,7.741052585297231
120,500,0,8.683608863876199
140,500,0,9.170000879352807
160,500,0,7.5679300035174215
180,500,0,6.279128561378833
200,500,0,6.65010552233557
220,500,0,6.856203833978199
240,500,0,10.0
260,500,0,7.488238656348937
280,500,0,6.66659338726698
300,500,0,5.41626362996835
320,500,0,4.712781392894835
340,500,0,5.421759584945486
360,500,0,6.018070699964833
380,500,0,4.3198206120295515
400,500,0,7.886695392191357
420,500,0,9.057333802321503
440,500,0,10.0
460,500,0,10.0
480,500,0,10.0
500,500,0,7.488238656348937
520,500,0,10.0
540,500,0,10.0
-540,480,0,6.416527435807254
-520,480,0,5.471223179739719
-500,480,0,5.4987029546254025
-480,480,0,6.259892718958855
-460,480,0,4.9655953218431295
-440,480,0,5.446491382342603
-420,480,0,5.223905205768561
-400,480,0,7.507474498768916
-380,480,0,2.877132430531133
-360,480,0,0.2940335912768206
-340,480,0,0.5495954977136834
-320,480,0,7.485490678860368
-300,480,0,5.757012838550834
-280,480,0,7.4277831516004325
-260,480,0,6.345080021104476
-240,480,0,4.993075096728814
-220,480,0,5.825712275765044
-200,480,0,7.133749560323611
-180,480,0,8.076305838902577
-160,480,0,6.911163383749567
-140,480,0,6.773764509321147
-120,480,0,6.2351609215617385
-100,480,0,7.8702075272599465
-80,480,0,8.532470102004934
-60,480,0,7.889443369679926
-40,480,0,5.754264861062266
-20,480,0,7.194205065072117
0,480,0,5.619613964122411
20,480,0,6.485226873021465
40,480,0,5.031546781568772
60,480,0,6.798496306718263
80,480,0,7.051310235666559
100,480,0,7.271148434752033
120,480,0,6.842463946535357
140,480,0,8.562697854379188
160,480,0,8.35110358775942
180,480,0,4.973839254308835
200,480,0,4.517674991206478
220,480,0,2.099454801266271
240,480,0,7.664109215617315
260,480,0,5.506946887091107
280,480,0,6.224169011607464
300,480,0,5.924639465353506
320,480,0,8.430794934927903
340,480,0,7.076042033063673
360,480,0,7.040318325712285
380,480,0,7.532206296166031
400,480,0,10.0
420,480,0,9.123285262047146
440,480,0,7.128253605346474
460,480,0,7.636629440731632
480,480,0,6.433015300738665
500,480,0,6.883683608863885
520,480,0,8.499494372142115
540,480,0,10.0
-540,460,0,8.719332571227588
-520,460,0,6.152721596904687
-500,460,0,5.5399226169539295
-480,460,0,6.246152831516013
-460,460,0,4.597366338374962
-440,460,0,5.517938797045381
-420,460,0,5.932883397819213
-400,460,0,6.3066083362645164
-380,460,0,4.069754660569825
-360,460,0,0.3242613436510732
-340,460,0,4.058762750615552
-320,460,0,6.034558564896245
-300,460,0,5.916395532887803
-280,460,0,7.430531129088999
-260,460,0,8.166989096025336
-240,460,0,6.70231709461837
-220,460,0,7.647621350685903
-200,460,0,5.932883397819213
-180,460,0,9.326635596201207
-160,460,0,5.553662504396772
-140,460,0,5.523434752022519
-120,460,0,9.293659866338386
-100,460,0,7.128253605346474
-80,460,0,6.8314720365810855
-60,460,0,7.878451459725653
-40,460,0,6.004330812521992
-20,460,0,8.87321931058742
