x,y,z,ecm
-490.0,280.0,0.0,6.0
-490.0,260.0,0.0,6.0
-490.0,240.0,0.0,6.0
-490.0,220.0,0.0,4.0
-490.0,200.0,0.0,4.0
-490.0,180.0,0.0,4.0
-490.0,160.0,0.0,4.0
-490.0,140.0,0.0,4.0
-490.0,120.0,0.0,4.0
-490.0,100.0,0.0,4.0
-490.0,80.0,0.0,6.0
-490.0,60.0,0.0,4.0
-490.0,40.0,0.0,4.0
-490.0,20.0,0.0,4.0
-490.0,-0.0,0.0,4.0
-490.0,-20.0,0.0,4.0
-490.0,-40.0,0.0,4.0
-490.0,-60.0,0.0,4.0
-490.0,-80.0,0.0,6.0
-490.0,-100.0,0.0,6.0
-490.0,-120.0,0.0,4.0
-490.0,-140.0,0.0,2.0
-490.0,-160.0,0.0,4.0
-490.0,-180.0,0.0,6.0
-490.0,-200.0,0.0,6.0
-490.0,-220.0,0.0,6.0
-490.0,-240.0,0.0,4.0
-490.0,-260.0,0.0,4.0
-490.0,-280.0,0.0,8.0
-470.0,280.0,0.0,6.0
-470.0,260.0,0.0,8.0
-470.0,240.0,0.0,8.0
-470.0,220.0,0.0,6.0
-470.0,200.0,0.0,6.0
-470.0,180.0,0.0,6.0
-470.0,160.0,0.0,4.0
-470.0,140.0,0.0,6.0
-470.0,120.0,0.0,6.0
-470.0,100.0,0.0,4.0
-470.0,80.0,0.0,6.0
-470.0,60.0,0.0,4.0
-470.0,40.0,0.0,4.0
-470.0,20.0,0.0,4.0
-470.0,-0.0,0.0,4.0
-470.0,-20.0,0.0,4.0
-470.0,-40.0,0.0,4.0
-470.0,-60.0,0.0,6.0
-470.0,-80.0,0.0,6.0
-470.0,-100.0,0.0,4.0
-470.0,-120.0,0.0,4.0
-470.0,-140.0,0.0,6.0
-470.0,-160.0,0.0,8.0
-470.0,-180.0,0.0,6.0
-470.0,-200.0,0.0,6.0
-470.0,-220.0,0.0,6.0
-470.0,-240.0,0.0,6.0
-470.0,-260.0,0.0,8.0
-470.0,-280.0,0.0,6.0
-450.0,280.0,0.0,8.0
-450.0,260.0,0.0,6.0
-450.0,240.0,0.0,6.0
-450.0,220.0,0.0,6.0
-450.0,200.0,0.0,6.0
-450.0,180.0,0.0,6.0
-450.0,160.0,0.0,6.0
-450.0,140.0,0.0,6.0
-450.0,120.0,0.0,4.0
-450.0,100.0,0.0,4.0
-450.0,80.0,0.0,6.0
-450.0,60.0,0.0,4.0
-450.0,40.0,0.0,4.0
-450.0,20.0,0.0,4.0
-450.0,-0.0,0.0,4.0
-450.0,-20.0,0.0,4.0
-450.0,-40.0,0.0,6.0
-450.0,-60.0,0.0,6.0
-450.0,-80.0,0.0,4.0
-450.0,-100.0,0.0,6.0
-450.0,-120.0,0.0,6.0
-450.0,-140.0,0.0,8.0
-450.0,-160.0,0.0,6.0
-450.0,-180.0,0.0,6.0
-450.0,-200.0,0.0,6.0
-450.0,-220.0,0.0,8.0
-450.0,-240.0,0.0,8.0
-450.0,-260.0,0.0,6.0
-450.0,-280.0,0.0,6.0
-430.0,280.0,0.0,8.0
-430.0,260.0,0.0,6.0
-430.0,240.0,0.0,6.0
-430.0,220.0,0.0,6.0
-430.0,200.0,0.0,6.0
-430.0,180.0,0.0,6.0
-430.0,160.0,0.0,6.0
-430.0,140.0,0.0,4.0
-430.0,120.0,0.0,4.0
-430.0,100.0,0.0,4.0
-430.0,80.0,0.0,4.0
-430.0,60.0,0.0,4.0
-430.0,40.0,0.0,4.0
-430.0,20.0,0.0,4.0
-430.0,-0.0,0.0,6.0
-430.0,-20.0,0.0,4.0
-430.0,-40.0,0.0,6.0
-430.0,-60.0,0.0,6.0
-430.0,-80.0,0.0,8.0
-430.0,-100.0,0.0,8.0
-430.0,-120.0,0.0,8.0
-430.0,-140.0,0.0,8.0
-430.0,-160.0,0.0,8.0
-430.0,-180.0,0.0,6.0
-430.0,-200.0,0.0,6.0
-430.0,-220.0,0.0,6.0
-430.0,-240.0,0.0,6.0
-430.0,-260.0,0.0,6.0
-430.0,-280.0,0.0,6.0
-410.0,280.0,0.0,6.0
-410.0,260.0,0.0,6.0
-410.0,240.0,0.0,6.0
-410.0,220.0,0.0,6.0
-410.0,200.0,0.0,6.0
-410.0,180.0,0.0,6.0
-410.0,160.0,0.0,8.0
-410.0,140.0,0.0,6.0
-410.0,120.0,0.0,6.0
-410.0,100.0,0.0,4.0
-410.0,80.0,0.0,4.0
-410.0,60.0,0.0,4.0
-410.0,40.0,0.0,4.0
-410.0,20.0,0.0,4.0
-410.0,-0.0,0.0,4.0
-410.0,-20.0,0.0,4.0
-410.0,-40.0,0.0,6.0
-410.0,-60.0,0.0,8.0
-410.0,-80.0,0.0,8.0
-410.0,-100.0,0.0,6.0
-410.0,-120.0,0.0,6.0
-410.0,-140.0,0.0,6.0
-410.0,-160.0,0.0,8.0
-410.0,-180.0,0.0,6.0
-410.0,-200.0,0.0,8.0
-410.0,-220.0,0.0,6.0
-410.0,-240.0,0.0,6.0
-410.0,-260.0,0.0,6.0
-410.0,-280.0,0.0,6.0
-390.0,280.0,0.0,8.0
-390.0,260.0,0.0,6.0
-390.0,240.0,0.0,6.0
-390.0,220.0,0.0,8.0
-390.0,200.0,0.0,6.0
-390.0,180.0,0.0,8.0
-390.0,160.0,0.0,8.0
-390.0,140.0,0.0,10.0
-390.0,120.0,0.0,8.0
-390.0,100.0,0.0,6.0
-390.0,80.0,0.0,6.0
-390.0,60.0,0.0,4.0
-390.0,40.0,0.0,6.0
-390.0,20.0,0.0,6.0
-390.0,-0.0,0.0,6.0
-390.0,-20.0,0.0,6.0
-390.0,-40.0,0.0,6.0
-390.0,-60.0,0.0,6.0
-390.0,-80.0,0.0,6.0
-390.0,-100.0,0.0,6.0
-390.0,-120.0,0.0,6.0
-390.0,-140.0,0.0,8.0
-390.0,-160.0,0.0,8.0
-390.0,-180.0,0.0,6.0
-390.0,-200.0,0.0,8.0
-390.0,-220.0,0.0,8.0
-390.0,-240.0,0.0,8.0
-390.0,-260.0,0.0,8.0
-390.0,-280.0,0.0,6.0
-370.0,280.0,0.0,6.0
-370.0,260.0,0.0,6.0
-370.0,240.0,0.0,8.0
-370.0,220.0,0.0,8.0
-370.0,200.0,0.0,6.0
-370.0,180.0,0.0,8.0
-370.0,160.0,0.0,8.0
-370.0,140.0,0.0,8.0
-370.0,120.0,0.0,8.0
-370.0,100.0,0.0,6.0
-370.0,80.0,0.0,6.0
-370.0,60.0,0.0,6.0
-370.0,40.0,0.0,6.0
-370.0,20.0,0.0,6.0
-370.0,-0.0,0.0,6.0
-370.0,-20.0,0.0,6.0
-370.0,-40.0,0.0,6.0
-370.0,-60.0,0.0,6.0
-370.0,-80.0,0.0,4.0
-370.0,-100.0,0.0,6.0
-370.0,-120.0,0.0,6.0
-370.0,-140.0,0.0,8.0
-370.0,-160.0,0.0,8.0
-370.0,-180.0,0.0,6.0
-370.0,-200.0,0.0,6.0
-370.0,-220.0,0.0,8.0
-370.0,-240.0,0.0,8.0
-370.0,-260.0,0.0,6.0
-370.0,-280.0,0.0,6.0
-350.0,280.0,0.0,8.0
-350.0,260.0,0.0,8.0
-350.0,240.0,0.0,8.0
-350.0,220.0,0.0,6.0
-350.0,200.0,0.0,6.0
-350.0,180.0,0.0,8.0
-350.0,160.0,0.0,6.0
-350.0,140.0,0.0,4.0
-350.0,120.0,0.0,4.0
-350.0,100.0,0.0,4.0
-350.0,80.0,0.0,4.0
-350.0,60.0,0.0,6.0
-350.0,40.0,0.0,6.0
-350.0,20.0,0.0,4.0
-350.0,-0.0,0.0,4.0
-350.0,-20.0,0.0,4.0
-350.0,-40.0,0.0,6.0
-350.0,-60.0,0.0,6.0
-350.0,-80.0,0.0,6.0
-350.0,-100.0,0.0,6.0
-350.0,-120.0,0.0,8.0
-350.0,-140.0,0.0,6.0
-350.0,-160.0,0.0,8.0
-350.0,-180.0,0.0,4.0
-350.0,-200.0,0.0,4.0
-350.0,-220.0,0.0,6.0
-350.0,-240.0,0.0,8.0
-350.0,-260.0,0.0,4.0
-350.0,-280.0,0.0,4.0
-330.0,280.0,0.0,10.0
-330.0,260.0,0.0,8.0
-330.0,240.0,0.0,8.0
-330.0,220.0,0.0,6.0
-330.0,200.0,0.0,6.0
-330.0,180.0,0.0,6.0
-330.0,160.0,0.0,6.0
-330.0,140.0,0.0,4.0
-330.0,120.0,0.0,4.0
-330.0,100.0,0.0,4.0
-330.0,80.0,0.0,4.0
-330.0,60.0,0.0,4.0
-330.0,40.0,0.0,4.0
-330.0,20.0,0.0,4.0
-330.0,-0.0,0.0,6.0
-330.0,-20.0,0.0,6.0
-330.0,-40.0,0.0,6.0
-330.0,-60.0,0.0,6.0
-330.0,-80.0,0.0,6.0
-330.0,-100.0,0.0,6.0
-330.0,-120.0,0.0,6.0
-330.0,-140.0,0.0,6.0
-330.0,-160.0,0.0,8.0
-330.0,-180.0,0.0,6.0
-330.0,-200.0,0.0,6.0
-330.0,-220.0,0.0,6.0
-330.0,-240.0,0.0,4.0
-330.0,-260.0,0.0,4.0
-330.0,-280.0,0.0,4.0
-310.0,280.0,0.0,8.0
-310.0,260.0,0.0,6.0
-310.0,240.0,0.0,6.0
-310.0,220.0,0.0,6.0
-310.0,200.0,0.0,6.0
-310.0,180.0,0.0,6.0
-310.0,160.0,0.0,4.0
-310.0,140.0,0.0,4.0
-310.0,120.0,0.0,4.0
-310.0,100.0,0.0,4.0
-310.0,80.0,0.0,4.0
-310.0,60.0,0.0,4.0
-310.0,40.0,0.0,4.0
-310.0,20.0,0.0,6.0
-310.0,-0.0,0.0,6.0
-310.0,-20.0,0.0,6.0
-310.0,-40.0,0.0,6.0
-310.0,-60.0,0.0,8.0
-310.0,-80.0,0.0,6.0
-310.0,-100.0,0.0,6.0
-310.0,-120.0,0.0,6.0
-310.0,-140.0,0.0,8.0
-310.0,-160.0,0.0,8.0
-310.0,-180.0,0.0,8.0
-310.0,-200.0,0.0,8.0
-310.0,-220.0,0.0,6.0
-310.0,-240.0,0.0,4.0
-310.0,-260.0,0.0,4.0
-310.0,-280.0,0.0,4.0
-290.0,280.0,0.0,8.0
-290.0,260.0,0.0,8.0
-290.0,240.0,0.0,6.0
-290.0,220.0,0.0,6.0
-290.0,200.0,0.0,6.0
-290.0,180.0,0.0,4.0
-290.0,160.0,0.0,4.0
-290.0,140.0,0.0,4.0
-290.0,120.0,0.0,4.0
-290.0,100.0,0.0,6.0
-290.0,80.0,0.0,4.0
-290.0,60.0,0.0,4.0
-290.0,40.0,0.0,4.0
-290.0,20.0,0.0,6.0
-290.0,-0.0,0.0,6.0
-290.0,-20.0,0.0,6.0
-290.0,-40.0,0.0,8.0
-290.0,-60.0,0.0,8.0
-290.0,-80.0,0.0,6.0
-290.0,-100.0,0.0,6.0
-290.0,-120.0,0.0,4.0
-290.0,-140.0,0.0,6.0
-290.0,-160.0,0.0,6.0
-290.0,-180.0,0.0,6.0
-290.0,-200.0,0.0,6.0
-290.0,-220.0,0.0,4.0
-290.0,-240.0,0.0,4.0
-290.0,-260.0,0.0,4.0
-290.0,-280.0,0.0,6.0
-270.0,280.0,0.0,8.0
-270.0,260.0,0.0,6.0
-270.0,240.0,0.0,6.0
-270.0,220.0,0.0,6.0
-270.0,200.0,0.0,6.0
-270.0,180.0,0.0,6.0
-270.0,160.0,0.0,4.0
-270.0,140.0,0.0,6.0
-270.0,120.0,0.0,4.0
-270.0,100.0,0.0,4.0
-270.0,80.0,0.0,4.0
-270.0,60.0,0.0,4.0
-270.0,40.0,0.0,6.0
-270.0,20.0,0.0,6.0
-270.0,-0.0,0.0,6.0
-270.0,-20.0,0.0,6.0
-270.0,-40.0,0.0,8.0
-270.0,-60.0,0.0,8.0
-270.0,-80.0,0.0,6.0
-270.0,-100.0,0.0,6.0
-270.0,-120.0,0.0,6.0
-270.0,-140.0,0.0,6.0
-270.0,-160.0,0.0,6.0
-270.0,-180.0,0.0,6.0
-270.0,-200.0,0.0,4.0
-270.0,-220.0,0.0,4.0
-270.0,-240.0,0.0,4.0
-270.0,-260.0,0.0,4.0
-270.0,-280.0,0.0,4.0
-250.0,280.0,0.0,8.0
-250.0,260.0,0.0,6.0
-250.0,240.0,0.0,6.0
-250.0,220.0,0.0,10.0
-250.0,200.0,0.0,6.0
-250.0,180.0,0.0,6.0
-250.0,160.0,0.0,6.0
-250.0,140.0,0.0,4.0
-250.0,120.0,0.0,4.0
-250.0,100.0,0.0,4.0
-250.0,80.0,0.0,4.0
-250.0,60.0,0.0,4.0
-250.0,40.0,0.0,4.0
-250.0,20.0,0.0,6.0
-250.0,-0.0,0.0,6.0
-250.0,-20.0,0.0,6.0
-250.0,-40.0,0.0,8.0
-250.0,-60.0,0.0,8.0
-250.0,-80.0,0.0,8.0
-250.0,-100.0,0.0,4.0
-250.0,-120.0,0.0,4.0
-250.0,-140.0,0.0,6.0
-250.0,-160.0,0.0,8.0
-250.0,-180.0,0.0,6.0
-250.0,-200.0,0.0,4.0
-250.0,-220.0,0.0,6.0
-250.0,-240.0,0.0,4.0
-250.0,-260.0,0.0,4.0
-250.0,-280.0,0.0,6.0
-230.0,280.0,0.0,6.0
-230.0,260.0,0.0,8.0
-230.0,240.0,0.0,8.0
-230.0,220.0,0.0,8.0
-230.0,200.0,0.0,6.0
-230.0,180.0,0.0,8.0
-230.0,160.0,0.0,8.0
-230.0,140.0,0.0,6.0
-230.0,120.0,0.0,4.0
-230.0,100.0,0.0,4.0
-230.0,80.0,0.0,4.0
-230.0,60.0,0.0,4.0
-230.0,40.0,0.0,4.0
-230.0,20.0,0.0,6.0
-230.0,-0.0,0.0,4.0
-230.0,-20.0,0.0,6.0
-230.0,-40.0,0.0,6.0
-230.0,-60.0,0.0,8.0
-230.0,-80.0,0.0,8.0
-230.0,-100.0,0.0,8.0
-230.0,-120.0,0.0,6.0
-230.0,-140.0,0.0,6.0
-230.0,-160.0,0.0,8.0
-230.0,-180.0,0.0,4.0
-230.0,-200.0,0.0,4.0
-230.0,-220.0,0.0,6.0
-230.0,-240.0,0.0,6.0
-230.0,-260.0,0.0,6.0
-230.0,-280.0,0.0,4.0
-210.0,280.0,0.0,6.0
-210.0,260.0,0.0,6.0
-210.0,240.0,0.0,6.0
-210.0,220.0,0.0,8.0
-210.0,200.0,0.0,6.0
-210.0,180.0,0.0,6.0
-210.0,160.0,0.0,6.0
-210.0,140.0,0.0,6.0
-210.0,120.0,0.0,4.0
-210.0,100.0,0.0,10.0
-210.0,80.0,0.0,6.0
-210.0,60.0,0.0,4.0
-210.0,40.0,0.0,4.0
-210.0,20.0,0.0,6.0
-210.0,-0.0,0.0,6.0
-210.0,-20.0,0.0,6.0
-210.0,-40.0,0.0,6.0
-210.0,-60.0,0.0,8.0
-210.0,-80.0,0.0,6.0
-210.0,-100.0,0.0,6.0
-210.0,-120.0,0.0,6.0
-210.0,-140.0,0.0,6.0
-210.0,-160.0,0.0,6.0
-210.0,-180.0,0.0,6.0
-210.0,-200.0,0.0,6.0
-210.0,-220.0,0.0,4.0
-210.0,-240.0,0.0,4.0
-210.0,-260.0,0.0,6.0
-210.0,-280.0,0.0,6.0
-190.0,280.0,0.0,6.0
-190.0,260.0,0.0,6.0
-190.0,240.0,0.0,6.0
-190.0,220.0,0.0,6.0
-190.0,200.0,0.0,6.0
-190.0,180.0,0.0,6.0
-190.0,160.0,0.0,6.0
-190.0,140.0,0.0,4.0
-190.0,120.0,0.0,4.0
-190.0,100.0,0.0,4.0
-190.0,80.0,0.0,6.0
-190.0,60.0,0.0,4.0
-190.0,40.0,0.0,4.0
-190.0,20.0,0.0,8.0
-190.0,-0.0,0.0,6.0
-190.0,-20.0,0.0,6.0
-190.0,-40.0,0.0,6.0
-190.0,-60.0,0.0,6.0
-190.0,-80.0,0.0,6.0
-190.0,-100.0,0.0,6.0
-190.0,-120.0,0.0,6.0
-190.0,-140.0,0.0,4.0
-190.0,-160.0,0.0,6.0
-190.0,-180.0,0.0,6.0
-190.0,-200.0,0.0,6.0
-190.0,-220.0,0.0,6.0
-190.0,-240.0,0.0,6.0
-190.0,-260.0,0.0,6.0
-190.0,-280.0,0.0,6.0
-170.0,280.0,0.0,4.0
-170.0,260.0,0.0,6.0
-170.0,240.0,0.0,6.0
