x,y,z,ecm
-490,-490,0,3.10750
-470,-490,0,1.87750
-450,-490,0,2.05000
-430,-490,0,1.88000
-410,-490,0,1.19000
-390,-490,0,0.257500
-370,-490,0,0.242500
-350,-490,0,0.637500
-330,-490,0,0.207500
-310,-490,0,0.325000
-290,-490,0,1.27500
-270,-490,0,3.31750
-250,-490,0,1.71250
-230,-490,0,1.99000
-210,-490,0,2.32000
-190,-490,0,2.61750
-170,-490,0,3.13250
-150,-490,0,2.44250
-130,-490,0,3.08250
-110,-490,0,5.12000
-90,-490,0,3.28250
-70,-490,0,3.21250
-50,-490,0,3.72000
-30,-490,0,5.46250
-10,-490,0,4.29250
10,-490,0,5.11250
30,-490,0,3.87500
50,-490,0,5.39750
70,-490,0,4.85000
90,-490,0,3.67000
110,-490,0,3.79250
130,-490,0,2.97250
150,-490,0,4.13500
170,-490,0,3.12750
190,-490,0,2.93000
210,-490,0,2.81750
230,-490,0,2.69000
250,-490,0,3.83250
270,-490,0,0.477500
290,-490,0,0.622500
310,-490,0,1.11500
330,-490,0,0.410000
350,-490,0,0.270000
370,-490,0,2.02000
390,-490,0,2.60750
410,-490,0,2.11750
430,-490,0,2
450,-490,0,1.94750
470,-490,0,1.71500
490,-490,0,1.31250
-490,-470,0,2.69500
-470,-470,0,1.50000
-450,-470,0,1.57250
-430,-470,0,1.78250
-410,-470,0,0.902500
-390,-470,0,0.235000
-370,-470,0,0.562500
-350,-470,0,0.422500
-330,-470,0,0.310000
-310,-470,0,0.682500
-290,-470,0,2.26750
-270,-470,0,2.85500
-250,-470,0,2.64000
-230,-470,0,2.14250
-210,-470,0,2.61250
-190,-470,0,2.31000
-170,-470,0,2.27250
-150,-470,0,2.53750
-130,-470,0,3.58250
-110,-470,0,4.40000
-90,-470,0,3.79500
-70,-470,0,3.68000
-50,-470,0,5.40000
-30,-470,0,5.47500
-10,-470,0,4.50250
10,-470,0,4.66500
30,-470,0,2.25250
50,-470,0,2.46000
70,-470,0,2.82250
90,-470,0,4.78750
110,-470,0,4.65500
130,-470,0,4.29750
150,-470,0,3.74250
170,-470,0,3.11250
190,-470,0,2.20250
210,-470,0,3.02000
230,-470,0,4.02750
250,-470,0,3.14000
270,-470,0,0.422500
290,-470,0,1.12750
310,-470,0,1.31000
330,-470,0,0.690000
350,-470,0,0.182500
370,-470,0,1.63000
390,-470,0,2.79000
410,-470,0,1.82500
430,-470,0,2.06750
450,-470,0,1.71750
470,-470,0,1.73750
490,-470,0,1.31500
-490,-450,0,2.33000
-470,-450,0,1.45750
-450,-450,0,1.35250
-430,-450,0,1.86750
-410,-450,0,1.06000
-390,-450,0,0.347500
-370,-450,0,0.302500
-350,-450,0,0.315000
-330,-450,0,0.892500
-310,-450,0,2.61500
-290,-450,0,2.28000
-270,-450,0,3.30000
-250,-450,0,1.97750
-230,-450,0,2.13500
-210,-450,0,2.14500
-190,-450,0,2.05500
-170,-450,0,1.93500
-150,-450,0,2.71000
-130,-450,0,3.11750
-110,-450,0,3.74500
-90,-450,0,5.43250
-70,-450,0,2.94500
-50,-450,0,3.75250
-30,-450,0,4.60250
-10,-450,0,4.46750
10,-450,0,2.74000
30,-450,0,0.380000
50,-450,0,0.300000
70,-450,0,0.925000
90,-450,0,4.08750
110,-450,0,4.55000
130,-450,0,3.68250
150,-450,0,4.74500
170,-450,0,1.99750
190,-450,0,3.07000
210,-450,0,3.80750
230,-450,0,3.29500
250,-450,0,0.642500
270,-450,0,0.507500
290,-450,0,0.822500
310,-450,0,1.17250
330,-450,0,1.86500
350,-450,0,0.315000
370,-450,0,1.72000
390,-450,0,2.65250
410,-450,0,2.18250
430,-450,0,2.08000
450,-450,0,1.43500
470,-450,0,1.54000
490,-450,0,1.35250
-490,-430,0,2.16000
-470,-430,0,1.65750
-450,-430,0,1.75000
-430,-430,0,1.55750
-410,-430,0,0.485000
-390,-430,0,0.287500
-370,-430,0,0.687500
-350,-430,0,0.332500
-330,-430,0,0.907500
-310,-430,0,2.67750
-290,-430,0,2.78500
-270,-430,0,2.70750
-250,-430,0,2.22750
-230,-430,0,1.97750
-210,-430,0,2.19000
-190,-430,0,2.35500
-170,-430,0,2.28000
-150,-430,0,2.63250
-130,-430,0,2.31500
-110,-430,0,4.39250
-90,-430,0,3.78750
-70,-430,0,2.71250
-50,-430,0,4.17250
-30,-430,0,5.04250
-10,-430,0,4.39750
10,-430,0,0.590000
30,-430,0,0.425000
50,-430,0,0.547500
70,-430,0,3.68000
90,-430,0,5.67750
110,-430,0,4.84750
130,-430,0,3.14000
150,-430,0,4.43500
170,-430,0,3.02500
190,-430,0,3.74500
210,-430,0,2.66750
230,-430,0,1.12000
250,-430,0,0.675000
270,-430,0,0.232500
290,-430,0,1.41750
310,-430,0,2.04250
330,-430,0,2.25750
350,-430,0,0.272500
370,-430,0,2.75500
390,-430,0,1.90500
410,-430,0,2.02750
430,-430,0,2.02500
450,-430,0,1.63500
470,-430,0,1.42000
490,-430,0,1.13500
-490,-410,0,2.09500
-470,-410,0,1.97000
-450,-410,0,2.50000
-430,-410,0,2.14500
-410,-410,0,0.315000
-390,-410,0,0.260000
-370,-410,0,0.392500
-350,-410,0,0.367500
-330,-410,0,1.28750
-310,-410,0,2.66750
-290,-410,0,3.42250
-270,-410,0,2.14000
-250,-410,0,2.09000
-230,-410,0,2.58500
-210,-410,0,2.17500
-190,-410,0,2.93250
-170,-410,0,3.04500
-150,-410,0,2.54750
