x,y,z,ecm
-5.400000000000000000e+02,-5.400000000000000000e+02,0.000000000000000000e+00,6.584678452472457977e+00
-5.200000000000000000e+02,-5.400000000000000000e+02,0.000000000000000000e+00,4.936373729609702110e+00
-5.000000000000000000e+02,-5.400000000000000000e+02,0.000000000000000000e+00,4.966265266034674219e+00
-4.800000000000000000e+02,-5.400000000000000000e+02,0.000000000000000000e+00,4.287300367238875864e+00
-4.600000000000000000e+02,-5.400000000000000000e+02,0.000000000000000000e+00,4.411136732428047047e+00
-4.400000000000000000e+02,-5.400000000000000000e+02,0.000000000000000000e+00,6.085062772226493166e+00
-4.200000000000000000e+02,-5.400000000000000000e+02,0.000000000000000000e+00,5.034588777863181264e+00
-4.000000000000000000e+02,-5.400000000000000000e+02,0.000000000000000000e+00,5.299342386198651056e+00
-3.800000000000000000e+02,-5.400000000000000000e+02,0.000000000000000000e+00,6.772568110000854347e+00
-3.600000000000000000e+02,-5.400000000000000000e+02,0.000000000000000000e+00,7.344777521564608058e+00
-3.400000000000000000e+02,-5.400000000000000000e+02,0.000000000000000000e+00,8.467845247245707085e+00
-3.200000000000000000e+02,-5.400000000000000000e+02,0.000000000000000000e+00,7.062943035272012615e+00
-3.000000000000000000e+02,-5.400000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+01
-2.800000000000000000e+02,-5.400000000000000000e+02,0.000000000000000000e+00,8.997352463916644894e+00
-2.600000000000000000e+02,-5.400000000000000000e+02,0.000000000000000000e+00,8.685626441199078229e+00
-2.400000000000000000e+02,-5.400000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+01
-2.200000000000000000e+02,-5.400000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+01
-2.000000000000000000e+02,-5.400000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+01
-1.800000000000000000e+02,-5.400000000000000000e+02,0.000000000000000000e+00,7.071483474250576329e+00
-1.600000000000000000e+02,-5.400000000000000000e+02,0.000000000000000000e+00,6.836621402340080422e+00
-1.400000000000000000e+02,-5.400000000000000000e+02,0.000000000000000000e+00,4.739943633102742249e-01
-1.200000000000000000e+02,-5.400000000000000000e+02,0.000000000000000000e+00,1.913058331198223883e+00
-1.000000000000000000e+02,-5.400000000000000000e+02,0.000000000000000000e+00,4.991886582970364472e+00
-8.000000000000000000e+01,-5.400000000000000000e+02,0.000000000000000000e+00,6.161926723033563924e+00
-6.000000000000000000e+01,-5.400000000000000000e+02,0.000000000000000000e+00,9.842855922794432999e+00
-4.000000000000000000e+01,-5.400000000000000000e+02,0.000000000000000000e+00,9.915449654112221012e+00
-2.000000000000000000e+01,-5.400000000000000000e+02,0.000000000000000000e+00,6.947647109061405146e+00
0.000000000000000000e+00,-5.400000000000000000e+02,0.000000000000000000e+00,9.996583824408574515e+00
2.000000000000000000e+01,-5.400000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+01
4.000000000000000000e+01,-5.400000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+01
