x,y,z,ecm
-490,-490,0,1.07750
-470,-490,0,0.727500
-450,-490,0,1.06250
-430,-490,0,1.05750
-410,-490,0,1.09250
-390,-490,0,1.33750
-370,-490,0,1.36000
-350,-490,0,1.78500
-330,-490,0,1.11750
-310,-490,0,1.09000
-290,-490,0,0.915000
-270,-490,0,1.09250
-250,-490,0,2.03500
-230,-490,0,1.38250
-210,-490,0,1.03750
-190,-490,0,0.822500
-170,-490,0,0.450000
-150,-490,0,0.277500
-130,-490,0,0.305000
-110,-490,0,0.542500
-90,-490,0,0.732500
-70,-490,0,1.06500
-50,-490,0,0.817500
-30,-490,0,1.14750
-10,-490,0,1.09500
10,-490,0,0.912500
30,-490,0,0.755000
50,-490,0,0.915000
70,-490,0,0.740000
90,-490,0,0.665000
110,-490,0,0.650000
130,-490,0,0.865000
150,-490,0,0.820000
170,-490,0,0.785000
190,-490,0,0.957500
210,-490,0,0.402500
230,-490,0,0.257500
250,-490,0,0.622500
270,-490,0,0.635000
290,-490,0,0.762500
310,-490,0,0.712500
330,-490,0,0.730000
350,-490,0,0.700000
370,-490,0,0.442500
390,-490,0,0.452500
410,-490,0,0.650000
430,-490,0,0.700000
450,-490,0,0.915000
470,-490,0,0.847500
490,-490,0,0.717500
-490,-470,0,1.04500
-470,-470,0,0.872500
-450,-470,0,1.11000
-430,-470,0,0.957500
-410,-470,0,0.995000
-390,-470,0,1.16500
-370,-470,0,1.25500
-350,-470,0,1.43750
-330,-470,0,0.875000
-310,-470,0,1.47000
-290,-470,0,0.882500
-270,-470,0,1.05750
-250,-470,0,1.10000
-230,-470,0,1.17000
-210,-470,0,1.58250
-190,-470,0,1.05500
-170,-470,0,0.840000
-150,-470,0,0.642500
-130,-470,0,0.605000
-110,-470,0,0.825000
-90,-470,0,1.17750
-70,-470,0,0.912500
-50,-470,0,0.885000
-30,-470,0,1.13750
-10,-470,0,0.985000
10,-470,0,0.832500
30,-470,0,0.632500
50,-470,0,0.857500
70,-470,0,0.727500
90,-470,0,0.572500
110,-470,0,0.535000
130,-470,0,0.617500
150,-470,0,0.850000
170,-470,0,1.05250
190,-470,0,0.972500
210,-470,0,0.367500
230,-470,0,0.340000
250,-470,0,0.842500
270,-470,0,0.835000
290,-470,0,0.785000
310,-470,0,0.792500
330,-470,0,0.742500
350,-470,0,0.695000
370,-470,0,0.695000
390,-470,0,0.642500
410,-470,0,0.642500
430,-470,0,0.785000
450,-470,0,0.755000
470,-470,0,0.990000
490,-470,0,0.947500
-490,-450,0,0.805000
-470,-450,0,1.19500
-450,-450,0,0.965000
-430,-450,0,0.980000
-410,-450,0,1.35500
-390,-450,0,1.52750
-370,-450,0,1.05750
-350,-450,0,1.31250
-330,-450,0,1.40500
-310,-450,0,1.33250
-290,-450,0,1.21250
-270,-450,0,1.50000
-250,-450,0,0.972500
-230,-450,0,1.04750
-210,-450,0,1.27000
-190,-450,0,1.56250
-170,-450,0,0.980000
-150,-450,0,1.04250
-130,-450,0,1.17500
-110,-450,0,0.985000
-90,-450,0,0.997500
-70,-450,0,1.26500
-50,-450,0,1.08000
-30,-450,0,0.940000
-10,-450,0,0.995000
10,-450,0,0.765000
30,-450,0,0.530000
50,-450,0,0.402500
70,-450,0,0.462500
90,-450,0,0.580000
110,-450,0,0.390000
130,-450,0,0.735000
150,-450,0,0.910000
170,-450,0,0.807500
190,-450,0,0.990000
210,-450,0,0.907500
230,-450,0,0.800000
250,-450,0,0.842500
270,-450,0,0.810000
290,-450,0,0.855000
310,-450,0,0.845000
330,-450,0,0.830000
350,-450,0,0.992500
370,-450,0,0.810000
390,-450,0,0.895000
410,-450,0,0.852500
430,-450,0,0.795000
450,-450,0,0.702500
470,-450,0,0.875000
490,-450,0,1.03250
-490,-430,0,0.987500
-470,-430,0,1.12250
-450,-430,0,0.997500
-430,-430,0,1.01250
-410,-430,0,0.885000
-390,-430,0,1.15750
-370,-430,0,1.01500
-350,-430,0,1.05250
-330,-430,0,1.78250
-310,-430,0,1.33250
-290,-430,0,0.920000
-270,-430,0,1.08500
-250,-430,0,1.01750
-230,-430,0,1.10000
-210,-430,0,1.16250
-190,-430,0,0.917500
