x,y,z,ecm
-490,-490,0,0.9535099474281008
-470,-490,0,3.628491908050719
-450,-490,0,6.452942995567471
-430,-490,0,5.927223997526032
-410,-490,0,3.886197299247503
-390,-490,0,2.711060715390168
-370,-490,0,5.576744665498406
-350,-490,0,2.5203587259045475
-330,-490,0,3.7831151427687892
-310,-490,0,0.4277909493866614
-290,-490,0,0.2525512833728483
-270,-490,0,0.8298113596536445
-250,-490,0,0.34017111637975495
-230,-490,0,0.6339552623440886
-210,-490,0,4.525306669415527
-190,-490,0,5.9220698897020965
-170,-490,0,8.679517575507687
-150,-490,0,8.26718894959283
-130,-490,0,5.045871559633031
-110,-490,0,5.777754870631898
-90,-490,0,8.215647871353474
-70,-490,0,8.823832594577885
-50,-490,0,4.896402432738896
-30,-490,0,6.045768477476553
-10,-490,0,5.556128234202663
10,-490,0,7.390990619523765
30,-490,0,8.870219564993306
50,-490,0,4.566539532007012
70,-490,0,0.36594165549943325
90,-490,0,0.35047933202762627
110,-490,0,1.7936295227296166
130,-490,0,8.396041645191222
150,-490,0,10.0
170,-490,0,9.648489846407593
190,-490,0,9.792804865477793
210,-490,0,8.942377074528405
230,-490,0,10.0
250,-490,0,9.071229770126797
270,-490,0,8.720750438099172
290,-490,0,9.23616122049274
310,-490,0,8.617668281620457
330,-490,0,5.633439851561698
350,-490,0,0.6803422327595099
370,-490,0,1.9534068652716228
390,-490,0,8.64859292856407
410,-490,0,5.9066075662302895
430,-490,0,4.922172971858575
450,-490,0,0.7164209875270595
470,-490,0,0.7937326048860948
490,-490,0,1.5256159158849614
-490,-470,0,2.489434078960934
-470,-470,0,2.8450675188124954
-450,-470,0,5.520049479435114
-430,-470,0,2.035872590454594
-410,-470,0,0.3607875476754976
-390,-470,0,0.2834759303164624
-370,-470,0,1.8400164931450378
-350,-470,0,3.468714565508713
-330,-470,0,4.612926502422433
-310,-470,0,0.2937841459643337
-290,-470,0,0.2834759303164624
-270,-470,0,0.4741779198020826
-250,-470,0,0.9895887021956505
-230,-470,0,6.736418925883934
-210,-470,0,7.432223482115251
-190,-470,0,9.344397484795389
-170,-470,0,9.256777651788482
-150,-470,0,7.561076177713643
-130,-470,0,6.174621173074946
-110,-470,0,8.849603133697563
-90,-470,0,8.256880733944959
-70,-470,0,5.942686320997838
-50,-470,0,7.210596845686017
-30,-470,0,7.138439336150917
-10,-470,0,6.3704772703845
10,-470,0,5.458200185547886
30,-470,0,5.46335429337182
50,-470,0,5.483970724667564
70,-470,0,0.8298113596536445
90,-470,0,0.32470879290794785
110,-470,0,0.2937841459643337
130,-470,0,1.309143387279663
150,-470,0,7.164209875270595
170,-470,0,10.0
190,-470,0,10.0
210,-470,0,10.0
230,-470,0,10.0
250,-470,0,10.0
270,-470,0,7.287908463045052
290,-470,0,6.277703329553659
310,-470,0,5.504587155963306
330,-470,0,0.46902381197814697
350,-470,0,0.2937841459643337
370,-470,0,0.36594165549943325
390,-470,0,7.07659004226369
410,-470,0,10.0
430,-470,0,6.066384908772296
450,-470,0,4.138748582620351
470,-470,0,1.309143387279663
490,-470,0,1.0720544273786217
-490,-450,0,0.6236470466962173
-470,-450,0,1.499845376765283
-450,-450,0,1.077208535202557
-430,-450,0,0.22678074425316994
-410,-450,0,0.3298629007318835
-390,-450,0,0.2886300381403981
-370,-450,0,0.6288011545201531
-350,-450,0,4.561385424183077
-330,-450,0,7.736315843727456
-310,-450,0,6.911658591897747
-290,-450,0,2.412122461601898
-270,-450,0,2.283269766003506
-250,-450,0,4.973714050097931
-230,-450,0,10.0
-210,-450,0,10.0
-190,-450,0,10.0
-170,-450,0,8.519740232965681
-150,-450,0,7.9424801566848835
-130,-450,0,6.715802494588191
-110,-450,0,9.225853004844867
-90,-450,0,8.303267704360382
-70,-450,0,4.406762189465007
-50,-450,0,2.6852901762704895
-30,-450,0,1.9430986496237515
-10,-450,0,2.3760437068343485
10,-450,0,4.767549737140504
30,-450,0,5.133491392639939
50,-450,0,7.988867127100304
70,-450,0,5.901453458406354
90,-450,0,0.371095763323369
110,-450,0,0.24224306772497695
130,-450,0,0.3298629007318835
150,-450,0,3.2780125760230927
170,-450,0,10.0
190,-450,0,10.0
210,-450,0,9.803113081125664
230,-450,0,7.782702814142876
250,-450,0,10.0
270,-450,0,9.024842799711376
290,-450,0,3.777961034944854
310,-450,0,0.45871559633027553
330,-450,0,0.2731677146685911
350,-450,0,0.3762498711473047
370,-450,0,1.370992681166891
390,-450,0,5.901453458406354
410,-450,0,10.0
430,-450,0,10.0
450,-450,0,8.128028038346567
470,-450,0,4.076899288733123
490,-450,0,4.221214307803322
-490,-430,0,0.12369858777445632
-470,-430,0,0.19585609730955583
-450,-430,0,0.21647252860529853
-430,-430,0,0.2319348520771056
-410,-430,0,0.24739717554891263
-390,-430,0,0.2370889599010413
-370,-430,0,0.2628594990207197
-350,-430,0,5.999381507061132
-330,-430,0,10.0
-310,-430,0,10.0
-290,-430,0,8.597051850324714
-270,-430,0,9.16400371095764
-250,-430,0,10.0
-230,-430,0,10.0
-210,-430,0,9.864962375012892
-190,-430,0,5.221111225646844
-170,-430,0,9.535099474281008
-150,-430,0,8.97330172147202
-130,-430,0,8.849603133697563
-110,-430,0,5.885991134934548
-90,-430,0,0.9277394083084224
-70,-430,0,0.2937841459643337
-50,-430,0,0.3040923616122051
-30,-430,0,0.3607875476754976
-10,-430,0,0.4638697041542112
10,-430,0,2.2471910112359565
30,-430,0,4.824244923203796
50,-430,0,4.891248324914961
70,-430,0,8.607360065972586
90,-430,0,5.71590557674467
110,-430,0,0.5051025667456966
130,-430,0,0.3195546850840122
150,-430,0,2.80383465622101
170,-430,0,10.0
190,-430,0,7.653850118544485
210,-430,0,8.370271106071543
230,-430,0,8.643438820740135
250,-430,0,8.638284712916201
270,-430,0,2.5512833728481614
290,-430,0,0.35047933202762627
310,-430,0,0.3040923616122051
330,-430,0,0.499948458921761
350,-430,0,2.4069683537779625
370,-430,0,6.5251005051025714
390,-430,0,5.19018657870323
410,-430,0,8.705288114627365
430,-430,0,10.0
450,-430,0,10.0
470,-430,0,10.0
490,-430,0,8.653747036388006
-490,-410,0,0.13916091124626337
-470,-410,0,0.14431501907019906
-450,-410,0,0.14431501907019906
-430,-410,0,0.2319348520771056
-410,-410,0,0.371095763323369
-390,-410,0,0.21131842078136287
-370,-410,0,0.3607875476754976
-350,-410,0,3.4480981342129704
-330,-410,0,7.545613854241836
-310,-410,0,8.7825997319864
-290,-410,0,10.0
-270,-410,0,10.0
-250,-410,0,10.0
-230,-410,0,10.0
-210,-410,0,6.3704772703845
-190,-410,0,10.0
-170,-410,0,7.421915266467379
-150,-410,0,6.988970209256783
-130,-410,0,6.0406143696526176
-110,-410,0,2.5564374806720975
-90,-410,0,0.3968663024430474
-70,-410,0,0.371095763323369
-50,-410,0,0.3453252242036906
-30,-410,0,0.64426347799196
-10,-410,0,4.973714050097931
10,-410,0,8.081641067931146
30,-410,0,6.592103906813734
50,-410,0,5.999381507061132
70,-410,0,6.030306154004745
90,-410,0,8.308421812184317
110,-410,0,2.9172250283475956
130,-410,0,1.3246057107514697
150,-410,0,4.360375219049586
170,-410,0,4.4583032677043635
190,-410,0,3.530563859395941
210,-410,0,6.592103906813734
230,-410,0,5.958148644469646
250,-410,0,8.622822389444394
270,-410,0,5.133491392639939
