x,y,z,ecm
-490,-490,0,2.18500
-470,-490,0,2.66250
-450,-490,0,0.545000
-430,-490,0,0.755000
-410,-490,0,2.30000
-390,-490,0,3.02250
-370,-490,0,3.24500
-350,-490,0,4.08000
-330,-490,0,4.43000
-310,-490,0,5.17500
-290,-490,0,2.06000
-270,-490,0,3.16750
-250,-490,0,2.40250
-230,-490,0,1.13250
-210,-490,0,0.510000
-190,-490,0,1.66250
-170,-490,0,1.53750
-150,-490,0,1.35250
-130,-490,0,3.48500
-110,-490,0,2.71500
-90,-490,0,3.32000
-70,-490,0,3.29000
-50,-490,0,2.40750
-30,-490,0,1.60000
-10,-490,0,3.34000
10,-490,0,2.49500
30,-490,0,2.06250
50,-490,0,2.86000
70,-490,0,2.58750
90,-490,0,2.73250
110,-490,0,1.48000
130,-490,0,2.29250
150,-490,0,1.56000
170,-490,0,2.42000
190,-490,0,2.49000
210,-490,0,2.75750
230,-490,0,2.51750
250,-490,0,2.92500
270,-490,0,3.20500
290,-490,0,2.67000
310,-490,0,3.45500
330,-490,0,1.48250
350,-490,0,1.42500
370,-490,0,3.28000
390,-490,0,3.55250
410,-490,0,3.57250
430,-490,0,2.75250
450,-490,0,2.57750
470,-490,0,2.63000
490,-490,0,2.00250
-490,-470,0,1.27000
-470,-470,0,2.64750
-450,-470,0,0.0825000
-430,-470,0,0.0600000
-410,-470,0,0.190000
-390,-470,0,0.537500
-370,-470,0,1.48500
-350,-470,0,2.38500
-330,-470,0,2.13000
-310,-470,0,2.78750
-290,-470,0,2.24250
-270,-470,0,2.02500
-250,-470,0,1.92000
-230,-470,0,1.66000
-210,-470,0,0.565000
-190,-470,0,0.222500
-170,-470,0,1.40750
-150,-470,0,2.24250
-130,-470,0,3.05750
-110,-470,0,3.00500
-90,-470,0,3.51250
-70,-470,0,2.04750
-50,-470,0,2.55500
-30,-470,0,3.15500
-10,-470,0,2.80500
10,-470,0,2.86750
30,-470,0,3.52250
50,-470,0,2.57750
70,-470,0,2.17000
90,-470,0,2.64000
110,-470,0,2.85250
130,-470,0,2.07000
150,-470,0,1.21250
170,-470,0,1.33500
190,-470,0,1.59750
210,-470,0,1.83250
230,-470,0,2.35500
250,-470,0,3.69500
270,-470,0,2.65750
290,-470,0,2.91250
310,-470,0,2.69250
330,-470,0,2.24250
350,-470,0,0.457500
370,-470,0,0.362500
390,-470,0,0.805000
410,-470,0,3.02250
430,-470,0,2.64750
450,-470,0,2.33000
470,-470,0,1.77000
490,-470,0,1.82500
-490,-450,0,2.30250
-470,-450,0,0.975000
-450,-450,0,0.0350000
-430,-450,0,0.0450000
-410,-450,0,0.0275000
-390,-450,0,0.0625000
-370,-450,0,0.0875000
-350,-450,0,0.460000
-330,-450,0,0.430000
-310,-450,0,0.355000
-290,-450,0,1.56750
-270,-450,0,0.497500
-250,-450,0,2.64500
-230,-450,0,2.12250
-210,-450,0,1.45500
-190,-450,0,0.722500
-170,-450,0,1.30000
-150,-450,0,1.35000
-130,-450,0,2.62000
-110,-450,0,3.32250
-90,-450,0,3.14750
-70,-450,0,3.32750
-50,-450,0,2.69250
-30,-450,0,3.22750
-10,-450,0,3.15500
10,-450,0,3.03500
30,-450,0,2.23750
50,-450,0,1.37500
70,-450,0,1.46250
90,-450,0,1.72000
110,-450,0,1.83500
130,-450,0,1.15750
150,-450,0,1.28250
170,-450,0,2.36250
190,-450,0,2.88000
210,-450,0,2.34000
230,-450,0,2.39500
250,-450,0,3.37000
270,-450,0,2.73250
290,-450,0,2.34750
310,-450,0,1.90750
330,-450,0,1.48250
350,-450,0,0.357500
370,-450,0,0.162500
390,-450,0,0.185000
410,-450,0,1.75500
430,-450,0,2.50250
450,-450,0,1.50500
470,-450,0,2.12500
490,-450,0,2.37750
-490,-430,0,2.75500
-470,-430,0,2.33750
-450,-430,0,0.122500
-430,-430,0,0.115000
-410,-430,0,0.0750000
-390,-430,0,0.0500000
-370,-430,0,0.0900000
-350,-430,0,0.102500
-330,-430,0,0.140000
-310,-430,0,0.715000
-290,-430,0,1.34500
-270,-430,0,0.125000
-250,-430,0,2.50500
-230,-430,0,3.22500
-210,-430,0,1.84000
-190,-430,0,2.23250
-170,-430,0,2.05750
-150,-430,0,2.28750
-130,-430,0,3.09250
-110,-430,0,2.77500
-90,-430,0,3.50500
-70,-430,0,3.76250
-50,-430,0,3.43500
-30,-430,0,3.01000
-10,-430,0,3.27000
10,-430,0,2.84250
30,-430,0,1.97750
50,-430,0,1.41750
70,-430,0,1.64500
90,-430,0,1.95250
110,-430,0,0.980000
130,-430,0,1.85000
150,-430,0,1.13750
170,-430,0,2.00750
190,-430,0,2.38000
210,-430,0,2.66000
230,-430,0,2.51750
250,-430,0,1.54750
270,-430,0,2.88500
290,-430,0,2.91500
310,-430,0,2.47500
330,-430,0,1.26500
350,-430,0,0.295000
370,-430,0,0.255000
390,-430,0,0.205000
410,-430,0,0.530000
430,-430,0,1.16000
450,-430,0,2.47000
470,-430,0,2.07500
490,-430,0,1.81750
-490,-410,0,2.82000
-470,-410,0,2.83750
-450,-410,0,1.52250
-430,-410,0,0.260000
-410,-410,0,0.135000
-390,-410,0,0.0775000
-370,-410,0,0.102500
-350,-410,0,0.372500
-330,-410,0,1.38000
-310,-410,0,3.36250
-290,-410,0,2.59500
-270,-410,0,0.202500
-250,-410,0,2.41500
-230,-410,0,3.34250
-210,-410,0,3.02250
-190,-410,0,1.72750
-170,-410,0,2.50250
-150,-410,0,3.31750
-130,-410,0,3.16500
-110,-410,0,3.61250
-90,-410,0,3.19000
-70,-410,0,4.45250
-50,-410,0,2.29250
-30,-410,0,2.83250
-10,-410,0,2.83000
10,-410,0,2.77250
30,-410,0,2.60500
50,-410,0,1.34250
70,-410,0,0.625000
90,-410,0,1.43500
110,-410,0,2.40250
130,-410,0,2.01750
150,-410,0,0.755000
170,-410,0,2.02500
190,-410,0,1.99750
210,-410,0,2.17000
230,-410,0,2.02500
250,-410,0,0.382500
270,-410,0,1.41750
290,-410,0,3.19500
310,-410,0,2.47000
330,-410,0,1.06500
350,-410,0,0.237500
370,-410,0,0.277500
390,-410,0,0.210000
410,-410,0,0.317500
430,-410,0,0.687500
450,-410,0,2.14000
470,-410,0,2.05750
490,-410,0,1.76000
-490,-390,0,2.89500
-470,-390,0,2.47750
-450,-390,0,2.70500
-430,-390,0,2.69000
-410,-390,0,1.45750
-390,-390,0,1.38500
-370,-390,0,2.14500
-350,-390,0,2.19750
-330,-390,0,3.75500
-310,-390,0,4.16000
-290,-390,0,3.67000
-270,-390,0,0.415000
-250,-390,0,2.77250
-230,-390,0,2.51500
-210,-390,0,1.16250
-190,-390,0,1.08250
-170,-390,0,2.49750
-150,-390,0,2.57000
-130,-390,0,3.14000
-110,-390,0,3.84250
-90,-390,0,3.35750
-70,-390,0,3.76500
-50,-390,0,3.14000
-30,-390,0,2.80750
-10,-390,0,2.60000
10,-390,0,1.96000
30,-390,0,2.90500
50,-390,0,2.62750
70,-390,0,1.44250
90,-390,0,1.49250
110,-390,0,2.93000
130,-390,0,2.26000
150,-390,0,1.91000
170,-390,0,2.84750
190,-390,0,1.66250
210,-390,0,2.28500
230,-390,0,3.09500
250,-390,0,2.82000
270,-390,0,1.83250
290,-390,0,1.83250
310,-390,0,3.10750
330,-390,0,3.29500
350,-390,0,2.10750
370,-390,0,1.53500
390,-390,0,1.45750
410,-390,0,1.55000
430,-390,0,2.03750
450,-390,0,2.70500
470,-390,0,3.04250
490,-390,0,2.68000
-490,-370,0,2.98500
-470,-370,0,2.49250
-450,-370,0,2.70500
-430,-370,0,3.01750
-410,-370,0,2.68750
-390,-370,0,2.26250
-370,-370,0,3.02500
-350,-370,0,1.85500
-330,-370,0,3.55500
-310,-370,0,2.89250
-290,-370,0,3.04000
-270,-370,0,0.395000
-250,-370,0,2.07750
-230,-370,0,1.76250
-210,-370,0,0.197500
-190,-370,0,0.455000
-170,-370,0,1.86500
-150,-370,0,2.43000
-130,-370,0,3.70250
-110,-370,0,2.58750
-90,-370,0,3.73000
-70,-370,0,3.43500
-50,-370,0,2.57000
-30,-370,0,2.83750
-10,-370,0,2.12250
10,-370,0,3.66500
30,-370,0,2.38500
50,-370,0,2.79500
70,-370,0,1.97000
90,-370,0,1.57750
110,-370,0,2.49250
130,-370,0,2.21500
150,-370,0,2.56750
170,-370,0,2.86750
190,-370,0,1.87750
210,-370,0,1.20750
230,-370,0,4.23500
250,-370,0,3.00250
270,-370,0,2.52750
290,-370,0,2.86750
310,-370,0,2.36000
330,-370,0,2.66250
350,-370,0,2.80250
370,-370,0,4.04500
390,-370,0,3.29750
410,-370,0,4.29500
430,-370,0,2.34750
450,-370,0,2.92000
470,-370,0,2.47250
490,-370,0,3.20750
-490,-350,0,3.52250
-470,-350,0,2.59750
-450,-350,0,3.69500
-430,-350,0,2.87500
-410,-350,0,3.40000
-390,-350,0,3.22750
-370,-350,0,3.03750
-350,-350,0,3.09250
-330,-350,0,3.68250
-310,-350,0,3.46250
-290,-350,0,3.23500
-270,-350,0,3.38500
-250,-350,0,2.81750
-230,-350,0,1.25250
-210,-350,0,0.202500
-190,-350,0,0.157500
-170,-350,0,0.192500
-150,-350,0,1.13000
-130,-350,0,2.66000
-110,-350,0,2.73000
-90,-350,0,3.37500
-70,-350,0,3.25500
-50,-350,0,3.29500
-30,-350,0,2.41250
-10,-350,0,2.21000
10,-350,0,2.09000
30,-350,0,2.31000
50,-350,0,2.63750
70,-350,0,2.54250
90,-350,0,2.45000
