x,y,z,ecm
-490,-490,0,4.646217638615705
-470,-490,0,5.661580989846369
-450,-490,0,1.158896390409867
-430,-490,0,1.605443623411834
-410,-490,0,4.890755409069163
-390,-490,0,6.4270905321354554
-370,-490,0,6.900217957578016
-350,-490,0,8.675774812609646
-330,-490,0,9.420020200946258
-310,-490,0,10.0
-290,-490,0,4.380415714209772
-270,-490,0,6.735420764446337
-250,-490,0,5.108712987082028
-230,-490,0,2.408165435117751
-210,-490,0,1.0844718515762057
-190,-490,0,3.5351655945989062
-170,-490,0,3.2693636701929734
-150,-490,0,2.875976822072193
-130,-490,0,7.410557652437406
-110,-490,0,5.77321779809686
-90,-490,0,7.059699112221574
-70,-490,0,6.995906650364151
-50,-490,0,5.119345064058266
-30,-490,0,3.40226463239594
-10,-490,0,7.102227420126525
10,-490,0,5.305406411142419
30,-490,0,4.385731752697891
50,-490,0,6.081548030407742
70,-490,0,5.5020998352028085
90,-490,0,5.810430067513691
110,-490,0,3.1470947849662445
130,-490,0,4.874807293604808
150,-490,0,3.3172080165860414
170,-490,0,5.145925256498859
190,-490,0,5.294774334166182
210,-490,0,5.8635904523948765
230,-490,0,5.353250757535487
250,-490,0,6.219765031098827
270,-490,0,6.815161341768117
290,-490,0,5.677529105310724
310,-490,0,7.3467651905799825
330,-490,0,3.152410823454363
350,-490,0,3.030141938227634
370,-490,0,6.9746424964116756
390,-490,0,7.554090691616611
410,-490,0,7.596618999521559
430,-490,0,5.852958375418639
450,-490,0,5.480835681250334
470,-490,0,5.592472489500826
490,-490,0,4.258146828983043
-490,-470,0,2.700547551964277
-470,-470,0,5.629684758917657
-450,-470,0,0.17542927010791565
-430,-470,0,0.12758492371484773
-410,-470,0,0.40401892509701787
-390,-470,0,1.1429482749455109
-370,-470,0,3.157726861942482
-350,-470,0,5.071500717665197
-330,-470,0,4.529264791877095
-310,-470,0,5.927382914252302
-290,-470,0,4.7684865238424345
-270,-470,0,4.305991175376111
-250,-470,0,4.082717558875127
-230,-470,0,3.529849556110787
-210,-470,0,1.201424698314816
-190,-470,0,0.4731274254425604
-170,-470,0,2.9929296688108034
-150,-470,0,4.7684865238424345
-130,-470,0,6.501515070969116
-110,-470,0,6.389878262718625
-90,-470,0,7.469034075806712
-70,-470,0,4.353835521769179
-50,-470,0,5.432991334857267
-30,-470,0,6.708840572005743
-10,-470,0,5.964595183669132
10,-470,0,6.097496145872099
30,-470,0,7.490298229759186
50,-470,0,5.480835681250334
70,-470,0,4.614321407686993
90,-470,0,5.613736643453301
